TAXONOMY,FLOORS,DWELLINGS PER FLOOR,DWELLINGS PER BUILDING
"MCF+CLBRS+MOCL/LFM+CDM/HBET:3,5/YBET:1977-1992/FC",4,4.01,16.04
"MCF+CLBRS+MOCL/LFM+CDM/HBET:3,5/YBET:1993-2002/FC",4,4.01,16.04
"MCF+CBS+MOCL/LFM+CDH/HBET:3,5/YBET:2003-2006/FC",4,4.01,16.04
"MCF+CBS+MOCL/LFM+CDH/HBET:3,5/YBET:2007-2011/FC",4,4.01,16.04
"MCF+CLBRS+MOM/LFM+CDN/HBET:3,5/YPRE:1945/FW",4,4.01,16.04
"MCF+CLBRS+MOM/LFM+CDN/HBET:3,5/YBET:1946-1960/FW",4,4.01,16.04
"MCF+CLBRS+MOM/LFM+CDL/HBET:3,5/YBET:1960-1977/FW",4,4.01,16.04
"MCF+CLBRS+MOCL/LFM+CDM/HBET:3,5/YBET:1977-1992/FW",4,4.01,16.04
"MCF+CLBRS+MOCL/LFM+CDH/HBET:3,5/YBET:1993-2002/FW",4,4.01,16.04
"MCF+CBS+MOCL/LFM+CDH/HBET:3,5/YBET:2003-2006/FW",4,4.01,16.04
"MCF+CBS+MOCL/LFM+CDH/HBET:3,5/YBET:2007-2011/FW",4,4.01,16.04
"W+WHE/LFM+CDN/HBET:3,5/YBET:1946-1960",4,4.01,16.04
"W+WHE/LFM+CDL/HBET:3,5/YBET:1960-1977",4,4.01,16.04
"W+WHE/LFM+CDM/HBET:3,5/YBET:1977-1992",4,4.01,16.04
"W+WHE/LFM+CDM/HBET:3,5/YBET:1993-2002",4,4.01,16.04
"W+WHE/LFM+CDH/HBET:3,5/YBET:2003-2006",4,4.01,16.04
"W+WHE/LFM+CDH/HBET:3,5/YBET:2007-2011",4,4.01,16.04
"MUR+ADO+MOM/LFM+CDN/HBET:3,5/YPRE:1945",4,4.01,16.04
"ER+ETC/LWAL+CDN/HBET:3,5/YPRE:1945",4,4.01,16.04
"MUR+ADO+MOM/LFM+CDN/HBET:3,5/YBET:1946-1960",4,4.01,16.04
"ER+ETC/LWAL+CDN/HBET:3,5/YBET:1946-1960",4,4.01,16.04
"MUR+ADO+MOM/LFM+CDN/HBET:3,5/YBET:1960-1977",4,4.01,16.04
"ER+ETC/LWAL+CDN/HBET:3,5/YBET:1960-1977",4,4.01,16.04
"MCF+ADO+MOM/LFM+CDM/HBET:3,5/YBET:1977-1992",4,4.01,16.04
"ER+ETC/LWAL+CDN/HBET:3,5/YBET:1977-1992",4,4.01,16.04
"MCF+ADO+MOM/LFM+CDM/HBET:3,5/YBET:1993-2002",4,4.01,16.04
"MCF+CLBRS+MOM/LFM+CDH/HBET:3,5/YBET:2003-2006",4,4.01,16.04
"MCF+CLBRS+MOM/LFM+CDH/HBET:3,5/YBET:2007-2011",4,4.01,16.04
"MATO/LFM+CDN/HBET:3,5/YPRE:1945",4,4.01,16.04
"MATO/LFM+CDN/HBET:3,5/YBET:1946-1960",4,4.01,16.04
"MATO/LFM+CDL/HBET:3,5/YBET:1960-1977",4,4.01,16.04
"MATO/LFM+CDM/HBET:3,5/YBET:1977-1992",4,4.01,16.04
"MATO/LFM+CDH/HBET:3,5/YBET:1993-2002",4,4.01,16.04
"MATO/LFM+CDH/HBET:3,5/YBET:2003-2006",4,4.01,16.04
"MATO/LFM+CDH/HBET:3,5/YBET:2007-2011",4,4.01,16.04
"HBET:3,5",4,4.01,16.04
CR+CIP/LFINF+CDN/HBET:6-/YPRE:1945,8,8.21,65.68
CR+CIP/LFINF+CDN/HBET:6-/YBET:1946-1960,8,8.21,65.68
CR+CIP/LFM+CDL/HBET:6-/YBET:1960-1977,8,8.21,65.68
CR+PC/LFM+CDL/HBET:6-/YBET:1960-1977,8,8.21,65.68
CR+PC/LWAL+CDL/HBET:6-/YBET:1960-1977,8,8.21,65.68
CR+PC/LFM+CDM/HBET:6-/YBET:1977-1992,8,8.21,65.68
CR+PC/LDUAL+CDM/HBET:6-/YBET:1977-1992,8,8.21,65.68
CR+PC/LWAL+CDM/HBET:6-/YBET:1977-1992,8,8.21,65.68
CR+CIP/LFM+CDM/HBET:6-/YBET:1993-2002,8,8.21,65.68
CR+CIP/LFINF+CDM/HBET:6-/YBET:1993-2002,8,8.21,65.68
CR+PC/LWAL+CDM/HBET:6-/YBET:1993-2002,8,8.21,65.68
CR+CIP/LFM+CDH/HBET:6-/YBET:2003-2006,8,8.21,65.68
CR+CIP/LFINF+CDH/HBET:6-/YBET:2003-2006,8,8.21,65.68
CR+CIP/LFM+CDH/HBET:6-/YBET:2007-2011,8,8.21,65.68
CR+CIP/LFINF+CDH/HBET:6-/YBET:2007-2011,8,8.21,65.68
MCF+CLBRS+MOM/LFM+CDN/HBET:6-/YPRE:1945/FC,8,8.21,65.68
MCF+CLBRS+MOM/LFM+CDN/HBET:6-/YBET:1946-1960/FC,8,8.21,65.68
MCF+CLBRS+MOM/LFM+CDL/HBET:6-/YBET:1960-1977/FC,8,8.21,65.68
MCF+CLBRS+MOCL/LFM+CDM/HBET:6-/YBET:1977-1992/FC,8,8.21,65.68
MCF+CLBRS+MOCL/LFM+CDM/HBET:6-/YBET:1993-2002/FC,8,8.21,65.68
MCF+CBS+MOCL/LFM+CDH/HBET:6-/YBET:2003-2006/FC,8,8.21,65.68
MCF+CBS+MOCL/LFM+CDH/HBET:6-/YBET:2007-2011/FC,8,8.21,65.68
MCF+CLBRS+MOM/LFM+CDN/HBET:6-/YPRE:1945/FW,8,8.21,65.68
MCF+CLBRS+MOM/LFM+CDN/HBET:6-/YBET:1946-1960/FW,8,8.21,65.68
MCF+CLBRS+MOM/LFM+CDL/HBET:6-/YBET:1960-1977/FW,8,8.21,65.68
MCF+CLBRS+MOCL/LFM+CDM/HBET:6-/YBET:1977-1992/FW,8,8.21,65.68
MCF+CLBRS+MOCL/LFM+CDM/HBET:6-/YBET:1993-2002/FW,8,8.21,65.68
MCF+CBS+MOCL/LFM+CDH/HBET:6-/YBET:2003-2006/FW,8,8.21,65.68
MCF+CBS+MOCL/LFM+CDH/HBET:6-/YBET:2007-2011/FW,8,8.21,65.68
W+WHE/LFM+CDN/HBET:6-/YPRE:1945,8,8.21,65.68
W+WHE/LFM+CDN/HBET:6-/YBET:1946-1960,8,8.21,65.68
W+WHE/LFM+CDL/HBET:6-/YBET:1960-1977,8,8.21,65.68
W+WHE/LFM+CDM/HBET:6-/YBET:1977-1992,8,8.21,65.68
W+WHE/LFM+CDM/HBET:6-/YBET:1993-2002,8,8.21,65.68
W+WHE/LFM+CDH/HBET:6-/YBET:2003-2006,8,8.21,65.68
W+WHE/LFM+CDH/HBET:6-/YBET:2007-2011,8,8.21,65.68
MUR+ADO+MOM/LFM+CDN/HBET:6-/YPRE:1945,8,8.21,65.68
ER+ETC/LWAL+CDN/HBET:6-/YPRE:1945,8,8.21,65.68
MUR+ADO+MOM/LFM+CDN/HBET:6-/YBET:1946-1960,8,8.21,65.68
ER+ETC/LWAL+CDN/HBET:6-/YBET:1946-1960,8,8.21,65.68
MUR+ADO+MOM/LFM+CDN/HBET:6-/YBET:1960-1977,8,8.21,65.68
ER+ETC/LWAL+CDN/HBET:6-/YBET:1960-1977,8,8.21,65.68
MCF+ADO+MOM/LFM+CDM/HBET:-/YBET:1977-1992,8,8.21,65.68
ER+ETC/LWAL+CDN/HBET:6-/YBET:1977-1992,8,8.21,65.68
MCF+ADO+MOM/LFM+CDM/HBET:6-/YBET:1993-2002,8,8.21,65.68
MCF+CLBRS+MOM/LFM+CDH/HBET:6-/YBET:2003-2006,8,8.21,65.68
MCF+CLBRS+MOM/LFM+CDH/HBET:6-/YBET:2007-2011,8,8.21,65.68
MATO/LFM+CDN/HBET:6-/YPRE:1945,8,8.21,65.68
MATO/LFM+CDN/HBET:6-/YBET:1946-1960,8,8.21,65.68
MATO/LFM+CDL/HBET:6-/YBET:1960-1977,8,8.21,65.68
MATO/LFM+CDM/HBET:6-/YBET:1977-1992,8,8.21,65.68
MATO/LFM+CDM/HBET:6-/YBET:1993-2002,8,8.21,65.68
MATO/LFM+CDH/HBET:6-/YBET:2003-2006,8,8.21,65.68
MATO/LFM+CDH/HBET:6-/YBET:2007-2011,8,8.21,65.68
HBET:6-,8,8.21,65.68
