LONGITUDE,LATITUDE,TAXONOMY,MACRO_TAXONOMY,BUILDINGS,DWELLINGS,OCCUPANCY,OCCUPANCY_TYPE,SETTLEMENT_TYPE,AREA_PER_DWELLING_SQM,COST_PER_AREA_EUR,TOTAL_REPL_COST_EUR,COST_STRUCTURAL_EUR,COST_NONSTRUCTURAL_EUR,COST_CONTENTS_EUR,OCCUPANTS_PER_ASSET,OCCUPANTS_PER_ASSET_DAY,OCCUPANTS_PER_ASSET_NIGHT,OCCUPANTS_PER_ASSET_TRANSIT,OCCUPANTS_PER_ASSET_AVERAGE,ID_2,DWELLINGS_PER_BUILDING,NAME_2,ID_1,NAME_1
23.255,55.9433,CR/LFINF+CDN/H:3,"Concrete frame with infill panels, low rise, pre code",2345.9196,7037.758800000001,Res,ALL,RURAL,56.0,840.0,331056173.952,99316852.1856,165528086.976,66211234.79040001,14270.444302099431,3299.868999528869,13617.3360129474,7614.530699046482,8177.24523717425,1,3,Siauliu,1,Siauliai
23.255,55.9433,CR/LFINF+CDN/H:3,"Concrete frame with infill panels, low rise, pre code",11054.6877,33164.0631,Res,ALL,URBAN,56.0,984.375,1828215408.0758398,548464622.4227519,914107704.0379199,365643081.615168,67246.68019311219,15549.987834494876,64169.03500405412,35881.98796754225,38533.67026869708,1,3,Siauliu,1,Siauliai
23.255,55.9433,CR/LWAL+CDN/HBET:4-10,"Concrete wall, mid rise, pre code",125.0363,1250.363,Res,ALL,RURAL,56.0,840.0,58817075.52,17645122.656,29408537.76,11763415.104000002,2535.357640973139,586.2710301833469,2419.3231954975413,1352.8351452527547,1452.8097903112146,1,10,Siauliu,1,Siauliai
23.255,55.9433,CR/LWAL+CDN/HBET:4-10,"Concrete wall, mid rise, pre code",589.2092,5892.0920000000015,Res,ALL,URBAN,56.0,984.375,324809820.42880005,97442946.12864,162404910.21440002,64961964.08576001,11947.378859992425,2762.687992826928,11400.58914539658,6374.972017456208,6846.083051893239,1,10,Siauliu,1,Siauliai
23.255,55.9433,MUR+CB/LWAL+CDN/HBET:1-2,"Unreinforced masonry, low rise",774.0344,774.0344,Res,ALL,RURAL,70.0,760.0,41178630.08,12353589.023999998,20589315.04,8235726.016,1569.5074393724535,362.9297612656075,1497.6765771484147,837.4695508061493,899.358629740057,1,1,Siauliu,1,Siauliai
23.255,55.9433,MUR+CB/LWAL+CDN/HBET:1-2,"Unreinforced masonry, low rise",3647.4858,3647.4858,Res,ALL,URBAN,58.0,890.625,188410149.50184,56523044.850552,94205074.75092,37682029.900368,7395.9969971688415,1710.2355536313285,7057.508100597913,3946.411547726829,4238.051733985357,1,1,Siauliu,1,Siauliai
23.255,55.9433,MUR+CB/LWAL+CDN/HBET:1-4,"Unreinforced masonry, low rise",132.47899999999998,529.9159999999998,Res,ALL,RURAL,58.0,760.0,23358697.28,7007609.1839999985,11679348.64,4671739.455999998,1074.5092262598316,248.46736446187094,1025.332699756211,573.3446917669179,615.7149186616666,1,4,Siauliu,1,Siauliai
23.255,55.9433,MUR+CB/LWAL+CDN/HBET:1-4,"Unreinforced masonry, low rise",624.2812,2497.1248,Res,ALL,URBAN,56.0,890.625,124540603.42528,37362181.027584,62270301.71264,24908120.685056,5063.413138539388,1170.8535273295709,4831.678441134423,2701.773958060385,2901.43530884146,1,4,Siauliu,1,Siauliai
23.255,55.9433,MUR+CL/LWAL+CDN/HBET:1-4,"Unreinforced masonry, low rise",64.0067,143.650876877,Res,ALL,RURAL,58.0,760.0,6332130.65273816,1899639.1958214482,3166065.32636908,1266426.1305476322,291.2804908035456,67.35511813243029,277.9496022211851,155.42362888663692,166.90944974675077,1,4,Siauliu,1,Siauliai
23.255,55.9433,MUR+CL/LWAL+CDN/HBET:1-4,"Unreinforced masonry, low rise",301.619,676.9265378900002,Res,ALL,URBAN,56.0,890.625,33760763.380110696,10128229.014033213,16880381.69005535,6752152.676022141,1372.6020925258545,317.3977626714936,1309.7828988582698,732.4033190456394,786.5279935251343,1,4,Siauliu,1,Siauliai
23.255,55.9433,MUR+CL/LWAL+CDN/HBET:1-4,"Unreinforced masonry, low rise",459.955,1032.28160605,Res,ALL,RURAL,58.0,760.0,45502973.194684006,13650891.9584052,22751486.597342003,9100594.6389368,2093.1545939338353,484.01688199207223,1997.3582342105624,1116.8811268906704,1199.418747697768,1,2,Siauliu,1,Siauliai
