LONGITUDE,LATITUDE,TAXONOMY,MACRO_TAXONOMY,BUILDINGS,OCCUPANCY,OCCUPANCY_TYPE,AREA_PER_BUILDING_SQM,COST_PER_AREA_EUR,TOTAL_REPL_COST_EUR,COST_STRUCTURAL_EUR,COST_NONSTRUCTURAL_EUR,COST_CONTENTS_EUR,OCCUPANTS_PER_ASSET,OCCUPANTS_PER_ASSET_DAY,OCCUPANTS_PER_ASSET_NIGHT,OCCUPANTS_PER_ASSET_TRANSIT,OCCUPANTS_PER_ASSET_AVERAGE,NAME_2,NAME_1
4.5599,50.8864,W/LWAL+CDN/H:2,"Wood, low rise",290.8622222850001,COM,Trade,1882,2166.0,1185674253.2692418,237134850.65384838,355702275.98077255,592837126.6346209,22009.331903430728,11831.732625982484,1085.7423521281412,2301.240720492958,5072.905232867862,Vlaams Brabant,Vlaanderen
3.1259,51.0048,CR+PC/LWAL+CDN/HBET:3-5,"Concrete wall, mid rise",114.082934936,COM,Hotels,3565,2835.0,1153010554.7377913,230602110.94755828,345903166.42133737,576505277.3688956,15236.026876095691,8190.55285599777,751.6084418246766,1593.0408800973753,3511.7340593066074,West-Vlaanderen,Vlaanderen
3.1259,51.0048,CR+PC/LWAL+CDN/HBET:3-5,"Concrete wall, mid rise",323.682744406,COM,Offices,879,3150.0,896228966.8485531,179245793.36971062,268868690.0545659,448114483.42427653,10658.594331975393,5729.825823794668,525.799116990678,1114.4359768655172,2456.686972550288,West-Vlaanderen,Vlaanderen
3.1259,51.0048,CR+PC/LWAL+CDN/HBET:6-,"Concrete wall, mid rise",54.875335792,COM,Hotels,5704,2835.0,887380275.0387053,177476055.0077411,266214082.51161158,443690137.5193527,11725.954861602762,6303.61536259069,578.4530792777258,1226.0365254420308,2702.7016557701486,West-Vlaanderen,Vlaanderen
3.1259,51.0048,CR+PC/LWAL+CDN/HBET:6-,"Concrete wall, mid rise",13.211540588,COM,Offices,1055,3150.0,43905252.259071,8781050.4518142,13171575.6777213,21952626.1295355,522.1525862057553,280.6977429873175,25.75830923011611,54.594969032208255,120.35034041654728,West-Vlaanderen,Vlaanderen
3.1259,51.0048,CR/LFINF+CDN/H:1,"Concrete frame with infill panels, low rise, pre code",56.36105886399999,COM,Trade,941,2394.0,126967600.80011144,25393520.16002229,38090280.24003343,63483800.40005572,1986.8280262294809,1068.075036684392,98.01221336192651,207.73777135248895,457.94167379960254,West-Vlaanderen,Vlaanderen
3.1259,51.0048,CR/LFINF+CDN/H:2,"Concrete frame with infill panels, low rise, pre code",11.552702272000001,COM,Hotels,1426,2835.0,46704225.00203712,9340845.000407426,14011267.500611136,23352112.50101856,617.1555190317243,331.76922961003635,30.44489890935399,64.52823818115952,142.24745556684994,West-Vlaanderen,Vlaanderen
3.1259,51.0048,CR/LFINF+CDN/H:2,"Concrete frame with infill panels, low rise, pre code",673.7885699880001,COM,Offices,352,3150.0,747096766.4026945,149419353.2805389,224129029.92080835,373548383.20134723,8885.00779864049,4776.384722377557,438.306319714734,928.994202906353,2047.8950816662148,West-Vlaanderen,Vlaanderen
3.1259,51.0048,CR/LFINF+CDN/H:2,"Concrete frame with infill panels, low rise, pre code",10.567698537,COM,Trade,1882,2394.0,47612850.300041795,9522570.06000836,14283855.090012537,23806425.150020897,745.0605098360555,400.5281387566471,36.75458001072245,77.90166425718337,171.72812767485098,West-Vlaanderen,Vlaanderen
3.1259,51.0048,CR/LFINF+CDN/HBET:3-5,"Concrete frame with infill panels, mid rise, pre code",241.16265992799998,COM,Hotels,3565,2835.0,2437376742.293812,487475348.4587624,731213022.6881435,1218688371.146906,32207.803649468104,17314.206670273765,1588.843161831911,3367.5674300792616,7423.53908739498,West-Vlaanderen,Vlaanderen
3.1259,51.0048,CR/LFINF+CDN/HBET:3-5,"Concrete frame with infill panels, mid rise, pre code",2008.154169376,COM,Offices,879,3150.0,5560277671.876738,1112055534.3753476,1668083301.5630212,2780138835.938369,66126.78932490856,35548.307151705696,3262.100644187064,6914.051774839127,15241.486523577296,West-Vlaanderen,Vlaanderen
