LONGITUDE,LATITUDE,TAXONOMY,MACRO_TAXONOMY,BUILDINGS,OCCUPANCY,AREA_PER_BUILDING_SQM,COST_PER_AREA_EUR,TOTAL_REPL_COST_EUR,COST_STRUCTURAL_EUR,COST_NONSTRUCTURAL_EUR,COST_CONTENTS_EUR,OCCUPANTS_PER_ASSET,OCCUPANTS_PER_ASSET_DAY,OCCUPANTS_PER_ASSET_NIGHT,OCCUPANTS_PER_ASSET_TRANSIT,OCCUPANTS_PER_ASSET_AVERAGE,NAME_2,ID_2,ID_0,NAME_0,ID_1,NAME_1
-4.389077047,54.32514192,CR/LFM+CDN/H:1,"Concrete frame, low rise, pre code",9.410064034856086,Ind,300,1758.75,4965126.187351465,744768.9281027197,1241281.5468378663,2979075.712410879,352.16530235014517,145.91898869817794,12.29444287034592,23.639448085555845,60.61762655135991,Ramsey,4,110,Isle of Man,1,Ayre
-4.389077047,54.32514192,S+SL/LFM+CDN/H:1,"Steel, low rise",17.109207336101974,Ind,300,1675.0,8597376.686391242,1289606.5029586863,2149344.1715978105,5158426.011834745,640.3005497275368,265.30725217850534,22.35353249153804,42.98081470101064,110.213866457018,Ramsey,4,110,Isle of Man,1,Ayre
-4.389077047,54.32514192,S/LFBR+CDN/H:1,"Steel, low rise",5.988222567635693,Ind,300,1675.0,3009081.840236936,451362.27603554033,752270.4600592339,1805449.1041421613,224.105192404638,92.85753826247692,7.823736372038316,15.043285145353725,38.57485325995631,Ramsey,4,110,Isle of Man,1,Ayre
-4.389077047,54.32514192,S/LFM+CDN/H:1,"Steel, low rise",34.21841467220395,Ind,300,1675.0,17194753.372782484,2579213.0059173726,4298688.343195621,10316852.02366949,1280.6010994550736,530.6145043570107,44.707064983076066,85.96162940202127,220.427732914036,Ramsey,4,110,Isle of Man,1,Ayre
-4.399259123,54.22941343,CR+PC/LFM+CDN/H:1,"Concrete frame, low rise",4.020718246633218,Ind,300,1758.75,2121491.7756535513,318223.7663480327,530372.9439133878,1272895.0653921308,150.47266965936097,62.34804972801689,5.2531513704779496,10.100628423554262,25.900609840683035,Laxey,5,110,Isle of Man,2,Garff
-4.399259123,54.22941343,CR/LFM+CDN/H:1,"Concrete frame, low rise, pre code",2.0103591233166096,Ind,300,1758.75,1060745.887826776,159111.88317401634,265186.471956694,636447.5326960655,75.23633482968049,31.17402486400845,2.626575685238976,5.050314211777131,12.950304920341518,Laxey,5,110,Isle of Man,2,Garff
-4.399259123,54.22941343,S+SL/LFM+CDN/H:1,"Steel, low rise",3.655198406030199,Ind,300,1675.0,1836737.1990301746,275510.5798545262,459184.29975754366,1102042.3194181048,136.7933360539645,56.680045207288074,4.7755921549799565,9.182389475958422,23.54600894607548,Laxey,5,110,Isle of Man,2,Garff
-4.399259123,54.22941343,S/LFBR+CDN/H:1,"Steel, low rise",1.2793194421105698,Ind,300,1675.0,642858.0196605613,96428.7029490842,160714.50491514037,385714.8117963368,47.8776676188876,19.83801582255083,1.6714572542429846,3.213836316585448,8.24110313112642,Laxey,5,110,Isle of Man,2,Garff
-4.399259123,54.22941343,S/LFM+CDN/H:1,"Steel, low rise",7.310396812060397,Ind,300,1675.0,3673474.3980603493,551021.1597090524,918368.5995150873,2204084.6388362097,273.586672107929,113.36009041457615,9.551184309959913,18.364778951916843,47.09201789215096,Laxey,5,110,Isle of Man,2,Garff
-4.421910678,54.22780723,CR+PC/LFM+CDN/H:1,"Concrete frame, low rise",3.788015579614471,Ind,300,1758.75,1998708.5404277798,299806.2810641669,499677.13510694494,1199225.1242566677,141.76392923158173,58.739600549247406,4.94912053340375,9.516045513599154,24.40158886541677,Lonan,6,110,Isle of Man,2,Garff
