LONGITUDE,LATITUDE,TAXONOMY,MACRO_TAXONOMY,BUILDINGS,DWELLINGS,OCCUPANCY,OCCUPANCY_TYPE,SETTLEMENT_TYPE,AREA_PER_DWELLING_SQM,COST_PER_AREA_EUR,TOTAL_REPL_COST_EUR,COST_STRUCTURAL_EUR,COST_NONSTRUCTURAL_EUR,COST_CONTENTS_EUR,OCCUPANTS_PER_ASSET,OCCUPANTS_PER_ASSET_DAY,OCCUPANTS_PER_ASSET_NIGHT,OCCUPANTS_PER_ASSET_TRANSIT,OCCUPANTS_PER_ASSET_AVERAGE,ID_4,NAME_4,ID_1,NAME_1,ID_2,NAME_2
4.4797,51.3972,MUR/LWAL+CDN/H:2,"Unreinforced masonry, low rise",3053.49,3053.49,Res,ALL,RURAL,80.0,1258.75,307498656.96,92249597.08799998,153749328.48,61499731.392,7635.416086597839,1723.897520075757,7219.201920301303,3823.9232719934093,4255.674237456824,31,Kalmthout,2,Vlaanderen,2,Antwerpen
4.4797,51.3972,MUR/LWAL+CDN/HBET:3-5,"Unreinforced masonry, mid rise",8.102652825836216,140.5,Res,ALL,RURAL,70.54,1258.75,12475803.156,3742740.9468000005,6237901.578000002,2495160.6312,351.32781183727366,79.32156370927821,332.176581486212,175.94988675747234,195.81601065098755,31,Kalmthout,2,Vlaanderen,2,Antwerpen
4.4797,51.3972,W/LWAL+CDN/H:1,"Wood, low rise",38.56,38.56,Res,ALL,RURAL,90.0,1258.75,4368539.5200000005,1310561.856,2184269.76,873707.9040000002,96.42135533413004,21.769676132596206,91.16533083351128,48.28916465030699,53.74139053880483,31,Kalmthout,2,Vlaanderen,2,Antwerpen
4.4797,51.3972,W/LWAL+CDN/H:2,"Wood, low rise",38.56,38.56,Res,ALL,RURAL,80.0,1258.75,3883146.24,1164943.872,1941573.12,776629.2480000001,96.42135533413004,21.769676132596206,91.16533083351128,48.28916465030699,53.74139053880483,31,Kalmthout,2,Vlaanderen,2,Antwerpen
4.4298,51.333,CR+PC/LWAL+CDN/HBET:3-5,"Concrete wall, mid rise",3.4140715109573243,59.2,Res,ALL,RURAL,70.54,1391.25,5809606.681600002,1742882.00448,2904803.340800001,1161921.3363200002,145.940611558174,32.949960485464075,137.98524288152635,73.08910143689535,81.3414349346286,32,Kapellen,2,Vlaanderen,2,Antwerpen
4.4298,51.333,CR/LFINF+CDN/H:2,"Concrete frame with infill panels, low rise, pre code",5.300000000000002,5.300000000000002,Res,ALL,RURAL,80.0,1391.25,589868.8000000003,176960.64000000004,294934.40000000014,117973.76000000005,13.0656290753095,2.9499120029216153,12.353408568785305,6.543449959722053,7.282256843809656,32,Kapellen,2,Vlaanderen,2,Antwerpen
4.4298,51.333,CR/LFINF+CDN/HBET:3-5,"Concrete frame with infill panels, mid rise, pre code",89.37716262975779,1549.8,Res,ALL,RURAL,70.54,1391.25,152090007.3504,45627002.205120005,76045003.6752,30418001.470080003,3820.587158663143,862.5987966279089,3612.323132057256,1913.4035372787232,2129.4418219879626,32,Kapellen,2,Vlaanderen,2,Antwerpen
4.4298,51.333,CR/LWAL+CDN/HBET:3-5,"Concrete wall, mid rise, pre code",32.56055363321798,564.5999999999998,Res,ALL,RURAL,70.54,1391.25,55407161.02079999,16622148.306239994,27703580.510399994,11081432.204159996,1391.8592784754223,314.24911638670613,1315.9876373464485,697.0626126903903,775.766455474515,32,Kapellen,2,Vlaanderen,2,Antwerpen
4.4298,51.333,MUR/LWAL+CDN/H:1,"Unreinforced masonry, low rise",4440.55,4440.55,Res,ALL,RURAL,90.0,1258.75,503078790.6,150923637.18,251539395.3,100615758.12,10946.901734031242,2471.5531593535047,10350.175173607466,5482.361645027123,6101.363325996032,32,Kapellen,2,Vlaanderen,2,Antwerpen
4.4298,51.333,MUR/LWAL+CDN/H:2,"Unreinforced masonry, low rise",4499.749999999999,4499.749999999999,Res,ALL,RURAL,80.0,1258.75,453142823.9999999,135942847.19999996,226571411.99999997,90628564.79999998,11092.842345589417,2504.5031198389684,10488.160416488992,5555.450746464018,6182.70476093066,32,Kapellen,2,Vlaanderen,2,Antwerpen
4.4298,51.333,MUR/LWAL+CDN/HBET:3-5,"Unreinforced masonry, mid rise",10.547866205305652,182.9,Res,ALL,RURAL,70.54,1258.75,16240743.0408,4872222.91224,8120371.520400002,3248148.6081600008,450.88746374983145,101.79979345931382,426.30913721336447,225.81075427040813,251.30656164769547,32,Kapellen,2,Vlaanderen,2,Antwerpen
4.4298,51.333,W/LWAL+CDN/H:1,"Wood, low rise",50.95,50.95,Res,ALL,RURAL,90.0,1258.75,5772227.4,1731668.22,2886113.7,1154445.4800000002,125.60260403528656,28.358116329972873,118.75588048671905,62.90354253732799,70.00584645133998,32,Kapellen,2,Vlaanderen,2,Antwerpen
4.4298,51.333,W/LWAL+CDN/H:2,"Wood, low rise",50.95,50.95,Res,ALL,RURAL,80.0,1258.75,5130868.800000002,1539260.64,2565434.4000000004,1026173.7600000001,125.60260403528656,28.358116329972873,118.75588048671905,62.90354253732799,70.00584645133998,32,Kapellen,2,Vlaanderen,2,Antwerpen
4.4405,51.1212,CR+PC/LWAL+CDN/HBET:3-5,"Concrete wall, mid rise",5.213379469434833,90.4,Res,ALL,RURAL,70.54,1391.25,8871426.419200001,2661427.9257600005,4435713.209600002,1774285.2838400004,224.7479325986696,50.74280160436353,212.49669804478356,112.55691111647009,125.26547025520571,33,Kontich,2,Vlaanderen,2,Antwerpen
4.4405,51.1212,CR/LFINF+CDN/H:2,"Concrete frame with infill panels, low rise, pre code",13.1,13.1,Res,ALL,RURAL,80.0,1391.25,1457977.6,437393.28,728988.7999999998,291595.52,32.56856102923199,7.353215719216394,30.793216198967517,16.31079132329379,18.152407747159234,33,Kontich,2,Vlaanderen,2,Antwerpen
4.4405,51.1212,CR/LFINF+CDN/HBET:3-5,"Concrete frame with infill panels, mid rise, pre code",73.63898500576701,1276.9,Res,ALL,RURAL,70.54,1391.25,125308898.17120002,37592669.451359995,62654449.08560001,25061779.634240005,3174.5645479562077,716.7420726616347,3001.515859882567,1589.8663695201403,1769.3747673547805,33,Kontich,2,Vlaanderen,2,Antwerpen
4.4405,51.1212,CR/LWAL+CDN/HBET:3-5,"Concrete wall, mid rise, pre code",24.273356401384078,420.9,Res,ALL,RURAL,70.54,1391.25,41305125.8832,12391537.764959998,20652562.9416,8261025.176639999,1046.420407420133,236.2571371158916,989.3789845912543,524.0619899217064,583.2327038762841,33,Kontich,2,Vlaanderen,2,Antwerpen
4.4405,51.1212,MUR/LWAL+CDN/H:1,"Unreinforced masonry, low rise",3206.31,3206.31,Res,ALL,RURAL,90.0,1258.75,363249272.52,108974781.756,181624636.26,72649854.504,7971.366634628764,1799.7472589832607,7536.839468008515,3992.1720097549696,4442.919578915582,33,Kontich,2,Vlaanderen,2,Antwerpen
4.4405,51.1212,MUR/LWAL+CDN/H:2,"Unreinforced masonry, low rise",3296.71,3296.71,Res,ALL,RURAL,80.0,1258.75,331991883.84000003,99597565.152,165995941.92000002,66398376.76800001,8196.114567227434,1850.4900605876248,7749.336166053299,4104.72892087144,4568.185049170788,33,Kontich,2,Vlaanderen,2,Antwerpen
4.4405,51.1212,MUR/LWAL+CDN/HBET:3-5,"Unreinforced masonry, mid rise",16.395617070357552,284.2999999999999,Res,ALL,RURAL,70.54,1258.75,25244632.293599997,7573389.688079998,12622316.146799995,5048926.458719999,706.8123588252405,159.58162053230689,668.2833103333177,353.9815246727041,393.9488185127763,33,Kontich,2,Vlaanderen,2,Antwerpen
4.4405,51.1212,W/LWAL+CDN/H:1,"Wood, low rise",37.19,37.19,Res,ALL,RURAL,90.0,1258.75,4213329.48,1263998.8439999998,2106664.74,842665.896,92.4599072272624,20.875274244096005,87.41982522439709,46.305215978114184,51.53343848220243,33,Kontich,2,Vlaanderen,2,Antwerpen
4.4405,51.1212,W/LWAL+CDN/H:2,"Wood, low rise",37.19,37.19,Res,ALL,RURAL,80.0,1258.75,3745181.76,1123554.528,1872590.88,749036.3520000001,92.4599072272624,20.875274244096005,87.41982522439709,46.305215978114184,51.53343848220243,33,Kontich,2,Vlaanderen,2,Antwerpen
4.4861,51.1239,CR+PC/LWAL+CDN/HBET:3-5,"Concrete wall, mid rise",0.6055363321799307,10.5,Res,ALL,RURAL,70.54,1391.25,1030420.104,309126.0312,515210.052,206084.02080000003,28.65750699332517,6.470191627678481,27.09535762961202,14.352080707355153,15.972543321548555,34,Lint,2,Vlaanderen,2,Antwerpen
4.4861,51.1239,CR/LFINF+CDN/H:2,"Concrete frame with infill panels, low rise, pre code",1.5,1.5,Res,ALL,RURAL,80.0,1391.25,166944.0,50083.2,83472.0,33388.8,4.093929570475026,0.9243130896683543,3.8707653756588614,2.0502972439078797,2.2817919030783647,34,Lint,2,Vlaanderen,2,Antwerpen
4.4861,51.1239,CR/LFINF+CDN/HBET:3-5,"Concrete frame with infill panels, mid rise, pre code",32.95271049596309,571.4,Res,ALL,RURAL,70.54,1391.25,56074480.7072,16822344.212160002,28037240.3536,11214896.141439999,1559.514237712953,352.10166629099854,1474.503557100982,781.0265634459747,869.2105956126518,34,Lint,2,Vlaanderen,2,Antwerpen
