LONGITUDE,LATITUDE,TAXONOMY,MACRO_TAXONOMY,BUILDINGS,DWELLINGS,OCCUPANCY,OCCUPANCY_TYPE,SETTLEMENT_TYPE,AREA_PER_DWELLING_SQM,COST_PER_AREA_EUR,TOTAL_REPL_COST_EUR,COST_STRUCTURAL_EUR,COST_NONSTRUCTURAL_EUR,COST_CONTENTS_EUR,OCCUPANTS_PER_ASSET,OCCUPANTS_PER_ASSET_DAY,OCCUPANTS_PER_ASSET_NIGHT,OCCUPANTS_PER_ASSET_TRANSIT,OCCUPANTS_PER_ASSET_AVERAGE,NAME_1
1.589,42.5343,W/LFM+CDL/H:1,"Wood, low rise",1.0996,1.0996,RES,ALL,RURAL,150.0,950.0,156693.0,47007.9,78346.5,31338.600000000002,3.107651337556516,0.5638305051268913,2.8960327120742675,1.3368867442061125,1.5989166538024238,Encamp
1.589,42.5343,W/LFM+CDL/H:1,"Wood, low rise",33.766,33.766,RES,ALL,URBAN,100.0,1068.75,3608910.0799999996,1082673.0239999997,1804455.0399999998,721782.016,95.42974314264492,17.3141045875995,88.93135935360338,41.0531120620207,49.099525334407865,Encamp
1.589,42.5343,CR/LFINF+CDN/HBET:3-5,"Concrete frame with infill panels, mid rise, pre code",6.964133333333333,20.8924,RES,ALL,RURAL,60.0,1050.0,1316221.2,394866.36,658110.6,263244.24,59.04619972427342,10.712929154574098,55.02538970784931,25.40120275178463,30.379840538069345,Encamp
1.589,42.5343,CR/LFINF+CDN/HBET:3-5,"Concrete frame with infill panels, mid rise, pre code",258.8726666666667,776.618,RES,ALL,URBAN,60.0,1181.25,55040470.896000005,16512141.268800002,27520235.448000003,11008094.179200001,2194.884151160169,398.2244161974429,2045.4213200027664,944.2216027558954,1129.289112985368,Encamp
1.5521,42.5084,CR/LFINF+CDL/HBET:3-5,"Concrete frame with infill panels, mid rise, low/moderate code",28.2642,84.7926,RES,ALL,RURAL,60.0,1050.0,5341933.8,1602580.14,2670966.9,1068386.76,239.64154581593803,43.478884582023085,223.32291511205594,103.09187587765,123.29789185724302,Escaldes-Engordany
1.5521,42.5084,CR/LFINF+CDL/HBET:3-5,"Concrete frame with infill panels, mid rise, low/moderate code",525.5482333333333,1576.6447,RES,ALL,URBAN,60.0,1181.25,111739963.17840001,33521988.95352,55869981.589200005,22347992.635680005,4455.926065967551,808.4520339266907,4152.495324579425,1916.9037461707128,2292.6170348922765,Escaldes-Engordany
1.5521,42.5084,MR/LWAL+CDL/H:2,"Confined or reinforced masonry, low rise",51.32185,102.6437,RES,ALL,RURAL,100.0,1050.0,10777588.5,3233276.55,5388794.25,2155517.7,290.0923634786254,52.63232778301744,270.33823389518494,124.7954140295968,149.25532523593304,Escaldes-Engordany
1.5521,42.5084,MR/LWAL+CDL/H:2,"Confined or reinforced masonry, low rise",514.12325,1028.2465,RES,ALL,URBAN,100.0,1181.25,121456476.58,36436942.974,60728238.29,24291295.316,2906.0387181947212,527.2513227582228,2708.149105640534,1250.1546082576235,1495.1850122187934,Escaldes-Engordany
1.5521,42.5084,MR/LWAL+CDL/H:2,"Confined or reinforced masonry, low rise",80.32985,160.6597,RES,ALL,RURAL,100.0,1050.0,16869268.5,5060780.55,8434634.25,3373853.7,454.05765336086455,82.38104222222174,423.1381433976032,195.33197001461704,233.61705187814732,Escaldes-Engordany
1.5521,42.5084,MR/LWAL+CDL/H:2,"Confined or reinforced masonry, low rise",1062.52145,2125.0429,RES,ALL,URBAN,100.0,1181.25,251010067.348,75303020.20439999,125505033.674,50202013.4696,6005.813413740381,1089.6527450951587,5596.841543518316,2583.652884083802,3090.049057565759,Escaldes-Engordany
1.5521,42.5084,S/LFM+CDL/H:1,"Steel, low rise",8.9255,8.9255,RES,ALL,RURAL,60.0,1000.0,535530.0,160659.0,267765.0,107106.0,25.225438271011516,4.5767269418244325,23.50768682650872,10.851781740682986,12.978731836338712,Escaldes-Engordany
1.5521,42.5084,S/LFM+CDL/H:1,"Steel, low rise",342.7488,342.7488,RES,ALL,URBAN,60.0,1125.0,23135544.0,6940663.2,11567772.0,4627108.8,968.6795334786832,175.75043379763792,902.7163319669189,416.71818586626165,498.3949838769395,Escaldes-Engordany
1.5521,42.5084,S/LWAL+CDL/H:1,"Steel, low rise",137.0995,137.0995,RES,ALL,URBAN,60.0,1125.0,9254216.25,2776264.875,4627108.125,1850843.25,387.47183694320756,70.30017779211697,361.08655473472294,166.68728447827235,199.35800566837077,Escaldes-Engordany
1.5521,42.5084,W/LFM+CDL/H:1,"Wood, low rise",4.4628,4.4628,RES,ALL,RURAL,150.0,950.0,635949.0,190784.69999999998,317974.5,127189.8,12.612660256170072,2.2883527882577046,11.753788543365916,5.425865540922315,6.489335624181979,Escaldes-Engordany
1.5521,42.5084,W/LFM+CDL/H:1,"Wood, low rise",68.5498,68.5498,RES,ALL,URBAN,100.0,1068.75,7326602.624000001,2197980.7872,3663301.3120000004,1465320.5248000002,193.73585959226807,35.15007821340397,180.543222497473,83.34361690971699,99.67897254019799,Escaldes-Engordany
1.5521,42.5084,CR/LFINF+CDN/HBET:3-5,"Concrete frame with infill panels, mid rise, pre code",28.2642,84.7926,RES,ALL,RURAL,60.0,1050.0,5341933.8,1602580.14,2670966.9,1068386.76,239.64154581593803,43.478884582023085,223.32291511205594,103.09187587765,123.29789185724302,Escaldes-Engordany
1.5521,42.5084,CR/LFINF+CDN/HBET:3-5,"Concrete frame with infill panels, mid rise, pre code",525.5482333333333,1576.6447,RES,ALL,URBAN,60.0,1181.25,111739963.17840001,33521988.95352,55869981.589200005,22347992.635680005,4455.926065967551,808.4520339266907,4152.495324579425,1916.9037461707128,2292.6170348922765,Escaldes-Engordany
1.5022,42.5493,CR/LFINF+CDL/HBET:3-5,"Concrete frame with infill panels, mid rise, low/moderate code",0.3878166666666667,1.16345,RES,ALL,RURAL,60.0,1050.0,73297.35,21989.205,36648.675,14659.470000000001,3.2880576221012894,0.5965621585507033,3.0641540502666804,1.4144960845669978,1.691737431128127,La Massana
