LONGITUDE,LATITUDE,TAXONOMY,MACRO_TAXONOMY,BUILDINGS,OCCUPANCY,AREA_PER_BUILDING_SQM,COST_PER_AREA_EUR,TOTAL_REPL_COST_EUR,COST_STRUCTURAL_EUR,COST_NONSTRUCTURAL_EUR,COST_CONTENTS_EUR,OCCUPANTS_PER_ASSET,OCCUPANTS_PER_ASSET_DAY,OCCUPANTS_PER_ASSET_NIGHT,OCCUPANTS_PER_ASSET_TRANSIT,OCCUPANTS_PER_ASSET_AVERAGE,ID_1,NAME_1,ID_2,NAME_2,NAME_3,ID_3
19.701499999999896,41.6225,CR/LFINF+CDM/HBET:3-5,"Concrete frame with infill panels, mid rise, low/moderate code",5.2356975192,Ind,315,525.0,865853.4772376999,129878.021585655,216463.369309425,519512.08634262,329.6977955546413,104.94181923165566,4.7239100147069,10.010943864221128,39.89222437019456,9,Lezhe,26,Kurbinit,Lac,49q267
19.701499999999896,41.6225,MCF/LWAL+CDL/H:1,"Confined or reinforced masonry, low rise",8.726162532,Ind,315,525.0,1443089.1287295,216463.369309425,360772.282182375,865853.4772376999,549.4963259244022,174.90303205275944,7.873183357844835,16.684906440368547,66.48704061699094,9,Lezhe,26,Kurbinit,Lac,49q267
19.701499999999896,41.6225,S+SL/LFM+CDM/H:1,"Steel, low rise",9.3079067008,Ind,315,500.0,1465995.305376,219899.2958064,366498.826344,879597.1832255998,586.1294143193622,186.5632341896101,8.398062248367822,17.79723353639311,70.91950999145699,9,Lezhe,26,Kurbinit,Lac,49q267
19.701499999999896,41.6225,S/LFM+CDM/H:1,"Steel, low rise",11.634883376,Ind,315,500.0,1832494.1317200002,274874.119758,458123.53293000004,1099496.4790319998,732.6617678992029,233.20404273701257,10.497577810459779,22.2465419204914,88.64938748932127,9,Lezhe,26,Kurbinit,Lac,49q267
19.701499999999896,41.6141999999999,CR+PC/LFM+CDM/H:1,"Concrete frame, low rise",6.650904381,Ind,315,525.0,1099893.312007875,164983.99680118126,274973.32800196874,659935.9872047249,418.81497256462166,133.3075493224014,6.0007809269059,12.716897826952176,50.67507602541982,9,Lezhe,26,Kurbinit,Lac,49q267
19.701499999999896,41.6141999999999,CR/LFINF+CDM/H:2,"Concrete frame with infill panels, low rise, low/moderate code",11.084840635,Ind,315,525.0,1833155.5200131247,274973.32800196874,458288.88000328135,1099893.312007875,698.0249542743695,222.17924887066897,10.001301544843166,21.194829711586962,84.45846004236637,9,Lezhe,26,Kurbinit,Lac,49q267
19.701499999999896,41.6141999999999,CR/LFINF+CDM/HBET:3-5,"Concrete frame with infill panels, mid rise, low/moderate code",3.9905426286,Ind,315,525.0,659935.987204725,98990.39808070876,164983.99680118126,395961.592322835,251.28898353877304,79.98452959344085,3.6004685561435394,7.630138696171304,30.40504561525189,9,Lezhe,26,Kurbinit,Lac,49q267
19.701499999999896,41.6141999999999,MCF/LWAL+CDL/H:1,"Confined or reinforced masonry, low rise",6.650904381,Ind,315,525.0,1099893.312007875,164983.99680118126,274973.32800196874,659935.9872047249,418.81497256462166,133.3075493224014,6.0007809269059,12.716897826952176,50.67507602541982,9,Lezhe,26,Kurbinit,Lac,49q267
19.701499999999896,41.6141999999999,S+SL/LFM+CDM/H:1,"Steel, low rise",7.094298006400001,Ind,315,500.0,1117351.936008,167602.7904012,279337.984002,670411.1616048,446.7359707355965,142.19471927722816,6.4008329886996265,13.564691015415654,54.053414427114475,9,Lezhe,26,Kurbinit,Lac,49q267
19.701499999999896,41.6141999999999,S/LFM+CDM/H:1,"Steel, low rise",8.867872508000001,Ind,315,500.0,1396689.9200100002,209503.4880015,349172.4800025001,838013.9520060002,558.4199634194957,177.7433990965352,8.001041235874533,16.955863769269563,67.5667680338931,9,Lezhe,26,Kurbinit,Lac,49q267
19.701499999999896,41.6559,CR+PC/LFM+CDM/H:1,"Concrete frame, low rise",12.1775791455,Ind,315,525.0,2013867.1511870625,302080.0726780593,503466.7877967656,1208320.2907122374,478.03453283864997,152.15695769894376,6.849278786512175,14.515040555112767,57.84042568018956,9,Lezhe,26,Kurbinit,Milot,49q269
19.701499999999896,41.6559,CR/LFINF+CDM/H:2,"Concrete frame with infill panels, low rise, low/moderate code",20.2959652425,Ind,315,525.0,3356445.2519784374,503466.7877967656,839111.3129946094,2013867.1511870625,796.7242213977498,253.5949294982396,11.415464644186962,24.191734258521272,96.40070946698259,9,Lezhe,26,Kurbinit,Milot,49q269
19.701499999999896,41.6559,CR/LFINF+CDM/HBET:3-5,"Concrete frame with infill panels, mid rise, low/moderate code",7.3065474873,Ind,315,525.0,1208320.2907122376,181248.0436068356,302080.0726780594,724992.1744273425,286.82071970319,91.29417461936626,4.109567271907307,8.70902433306766,34.704255408113745,9,Lezhe,26,Kurbinit,Milot,49q269
19.701499999999896,41.6559,MCF/LWAL+CDL/H:1,"Confined or reinforced masonry, low rise",12.1775791455,Ind,315,525.0,2013867.1511870625,302080.0726780593,503466.7877967656,1208320.2907122374,478.03453283864997,152.15695769894376,6.849278786512175,14.515040555112767,57.84042568018956,9,Lezhe,26,Kurbinit,Milot,49q269
19.701499999999896,41.6559,S+SL/LFM+CDM/H:1,"Steel, low rise",12.9894177552,Ind,315,500.0,2045833.296444,306874.9944666,511458.324111,1227499.9778664,509.90350169455985,162.3007548788733,7.305897372279652,15.482709925453616,61.69645405886886,9,Lezhe,26,Kurbinit,Milot,49q269
19.701499999999896,41.6559,S/LFM+CDM/H:1,"Steel, low rise",16.236772194,Ind,315,500.0,2557291.620555,383593.74308325,639322.90513875,1534374.9723329996,637.3793771182,202.8759435985917,9.132371715349569,19.353387406817024,77.12056757358609,9,Lezhe,26,Kurbinit,Milot,49q269
19.7098,41.6559,CR+PC/LFM+CDM/H:1,"Concrete frame, low rise",0.8790298019999999,Ind,315,525.0,145369.55350575,21805.433025862494,36342.3883764375,87221.73210344999,34.506579323329674,10.983340678877864,0.4944102685446676,1.0477577745735822,4.175169573998705,9,Lezhe,26,Kurbinit,Milot,49q269
19.7098,41.6559,CR/LFINF+CDM/H:2,"Concrete frame with infill panels, low rise, low/moderate code",1.46504967,Ind,315,525.0,242282.58917625,36342.3883764375,60570.6472940625,145369.55350575,57.5109655388828,18.30556779812978,0.8240171142411127,1.7462629576226374,6.9586159566645085,9,Lezhe,26,Kurbinit,Milot,49q269
19.7098,41.6559,CR/LFINF+CDM/HBET:3-5,"Concrete frame with infill panels, mid rise, low/moderate code",0.5274178812,Ind,315,525.0,87221.73210345,13083.2598155175,21805.4330258625,52333.03926207,20.703947593997807,6.590004407326719,0.2966461611268005,0.6286546647441493,2.5051017443992234,9,Lezhe,26,Kurbinit,Milot,49q269
19.7098,41.6559,MCF/LWAL+CDL/H:1,"Confined or reinforced masonry, low rise",0.8790298019999999,Ind,315,525.0,145369.55350575,21805.433025862494,36342.3883764375,87221.73210344999,34.506579323329674,10.983340678877864,0.4944102685446676,1.0477577745735822,4.175169573998705,9,Lezhe,26,Kurbinit,Milot,49q269
