LONGITUDE,LATITUDE,TAXONOMY,MACRO_TAXONOMY,BUILDINGS,OCCUPANCY,AREA_PER_BUILDING_SQM,COST_PER_AREA_EUR,TOTAL_REPL_COST_EUR,COST_STRUCTURAL_EUR,COST_NONSTRUCTURAL_EUR,COST_CONTENTS_EUR,OCCUPANTS_PER_ASSET,OCCUPANTS_PER_ASSET_DAY,OCCUPANTS_PER_ASSET_NIGHT,OCCUPANTS_PER_ASSET_TRANSIT,OCCUPANTS_PER_ASSET_AVERAGE,NAME_1,ID_1
1.5295,42.5724,CR+PC/LFM+CDN/H:1,"Concrete frame, low rise",16.0,Ind,683.7606837606837,1575.0,17230769.230769232,2584615.3846153845,4307692.307692308,10338461.538461538,347.6049373855734,213.77147481312957,21.480594710678897,46.06113025296235,93.77106659225693,Ordino,6
1.5295,42.5724,CR/LFM+CDN/H:1,"Concrete frame, low rise, pre code",3.0,Ind,683.7606837606837,1575.0,3230769.2307692314,484615.3846153846,807692.3076923076,1938461.5384615385,65.17592575979499,40.082151527461775,4.027611508252293,8.636461922430438,17.582074986048163,Ordino,6
1.5295,42.5724,MUR/LWAL+CDN/H:1,"Unreinforced masonry, low rise",2.0,Ind,683.7606837606837,1425.0,1948717.948717949,292307.6923076923,487179.48717948725,1169230.7692307692,43.450617173196676,26.721434351641197,2.6850743388348626,5.757641281620294,11.721383324032116,Ordino,6
1.5295,42.5724,S+SL/LFM+CDN/H:1,"Steel, low rise",6.5,Ind,683.7606837606837,1500.0,6666666.666666668,1000000.0,1666666.666666667,4000000.0,141.2145058128892,86.84466164283386,8.726491601213302,18.71233416526595,38.094495803104365,Ordino,6
1.5295,42.5724,S/LFBR+CDN/H:1,"Steel, low rise",2.5,Ind,683.7606837606837,1500.0,2564102.5641025645,384615.3846153847,641025.6410256411,1538461.5384615387,54.31327146649585,33.401792939551484,3.3563429235435778,7.197051602025366,14.651729155040146,Ordino,6
1.5295,42.5724,S/LFM+CDN/H:1,"Steel, low rise",20.0,Ind,683.7606837606837,1500.0,20512820.51282052,3076923.0769230775,5128205.128205129,12307692.30769231,434.5061717319668,267.2143435164119,26.850743388348626,57.576412816202925,117.21383324032116,Ordino,6
1.4898,42.4678,CR+PC/LFM+CDN/H:1,"Concrete frame, low rise",42.56,Ind,683.7606837606837,1575.0,45833846.15384616,6875076.923076924,11458461.53846154,27500307.692307696,1661.3574536207473,1021.7082522575017,102.66524520394772,220.14647617928532,448.1733245469116,Sant Julia de Loria,7
1.4898,42.4678,CR/LFM+CDN/H:1,"Concrete frame, low rise, pre code",7.979999999999999,Ind,683.7606837606837,1575.0,8593846.153846152,1289076.9230769228,2148461.538461538,5156307.692307691,311.50452255389007,191.5702972982816,19.249733475740193,41.27746428361597,84.03249835254591,Sant Julia de Loria,7
1.4898,42.4678,MUR/LWAL+CDN/H:1,"Unreinforced masonry, low rise",5.32,Ind,683.7606837606837,1425.0,5183589.743589745,777538.4615384617,1295897.4358974362,3110153.846153847,207.6696817025934,127.71353153218772,12.833155650493465,27.51830952241066,56.02166556836395,Sant Julia de Loria,7
1.4898,42.4678,S+SL/LFM+CDN/H:1,"Steel, low rise",17.29,Ind,683.7606837606837,1500.0,17733333.333333336,2660000.0000000005,4433333.333333334,10640000.000000002,674.9264655334288,415.0689774796101,41.707755864103774,89.43450594783465,182.07041309718284,Sant Julia de Loria,7
1.4898,42.4678,S/LFBR+CDN/H:1,"Steel, low rise",6.65,Ind,683.7606837606837,1500.0,6820512.820512823,1023076.9230769231,1705128.2051282057,4092307.692307693,259.5871021282418,159.64191441523462,16.04144456311683,34.39788690301332,70.02708196045494,Sant Julia de Loria,7
1.4898,42.4678,S/LFM+CDN/H:1,"Steel, low rise",53.2,Ind,683.7606837606837,1500.0,54564102.56410258,8184615.384615386,13641025.641025646,32738461.538461544,2076.6968170259343,1277.1353153218772,128.33155650493464,275.1830952241066,560.2166556836395,Sant Julia de Loria,7
