LONGITUDE,LATITUDE,TAXONOMY,MACRO_TAXONOMY,BUILDINGS,OCCUPANCY,AREA_PER_BUILDING_SQM,COST_PER_AREA_EUR,TOTAL_REPL_COST_EUR,COST_STRUCTURAL_EUR,COST_NONSTRUCTURAL_EUR,COST_CONTENTS_EUR,OCCUPANTS_PER_ASSET,OCCUPANTS_PER_ASSET_DAY,OCCUPANTS_PER_ASSET_NIGHT,OCCUPANTS_PER_ASSET_TRANSIT,OCCUPANTS_PER_ASSET_AVERAGE,NAME_2,ID_2,NAME_1,ID_1
33.3554,35.1162,S+SL/LFM+CDM/H:1,"Steel, low rise",1.25535132432,Ind,2243.54980175436,1250.0,3520554.018512761,528083.102776914,880138.5046281903,2112332.411107656,69.05269636760023,36.639153534559576,3.3332772327086144,7.086360332984055,15.686263700084085,Strovolos Municipality,CY000_1012,Lefkosia,4
33.3637,35.1246,CR+PC/LFM+CDN/H:1,"Concrete frame, low rise",0.12246218082000004,Ind,2243.54980175436,1312.5,360609.37697021686,54091.40654553253,90152.34424255422,216365.62618213013,6.736236800688652,3.574227037734996,0.32516825472444216,0.6912894610786711,1.53022825117937,Strovolos Municipality,CY000_1012,Lefkosia,4
33.3637,35.1246,CR+PC/LFM+CDN/H:1,"Concrete frame, low rise",0.12246218082000004,Ind,2243.54980175436,1312.5,360609.37697021686,54091.40654553253,90152.34424255422,216365.62618213013,6.736236800688652,3.574227037734996,0.32516825472444216,0.6912894610786711,1.53022825117937,Strovolos Municipality,CY000_1012,Lefkosia,4
33.3637,35.1246,CR/LFINF+CDM/H:1,"Concrete frame with infill panels, low rise, low/moderate code",0.6997838904000001,Ind,2243.54980175436,1312.5,2060625.011258382,309093.75168875733,515156.2528145955,1236375.006755029,38.49278171822087,20.42415450134284,1.8581043127110983,3.950225491878121,8.744161435310689,Strovolos Municipality,CY000_1012,Lefkosia,4
33.3637,35.1246,CR/LFINF+CDM/H:1,"Concrete frame with infill panels, low rise, low/moderate code",0.6997838904000001,Ind,2243.54980175436,1312.5,2060625.011258382,309093.75168875733,515156.2528145955,1236375.006755029,38.49278171822087,20.42415450134284,1.8581043127110983,3.950225491878121,8.744161435310689,Strovolos Municipality,CY000_1012,Lefkosia,4
33.3637,35.1246,CR/LFINF+CDM/HBET:3-5,"Concrete frame with infill panels, mid rise, low/moderate code",0.08747298630000001,Ind,2243.54980175436,1312.5,257578.1264072977,38636.718961094666,64394.531601824434,154546.87584437866,4.811597714777609,2.553019312667855,0.2322630390888873,0.4937781864847651,1.0930201794138361,Strovolos Municipality,CY000_1012,Lefkosia,4
33.3637,35.1246,CR/LFINF+CDM/HBET:3-5,"Concrete frame with infill panels, mid rise, low/moderate code",0.08747298630000001,Ind,2243.54980175436,1312.5,257578.1264072977,38636.718961094666,64394.531601824434,154546.87584437866,4.811597714777609,2.553019312667855,0.2322630390888873,0.4937781864847651,1.0930201794138361,Strovolos Municipality,CY000_1012,Lefkosia,4
33.3637,35.1246,S+SL/LFM+CDM/H:1,"Steel, low rise",0.8397406684800001,Ind,2243.54980175436,1250.0,2355000.012866722,353250.0019300083,588750.0032166805,1413000.0077200332,46.19133806186503,24.5089854016114,2.2297251752533174,4.7402705902537425,10.49299372237282,Strovolos Municipality,CY000_1012,Lefkosia,4
33.3637,35.1246,S+SL/LFM+CDM/H:1,"Steel, low rise",0.8397406684800001,Ind,2243.54980175436,1250.0,2355000.012866722,353250.0019300083,588750.0032166805,1413000.0077200332,46.19133806186503,24.5089854016114,2.2297251752533174,4.7402705902537425,10.49299372237282,Strovolos Municipality,CY000_1012,Lefkosia,4
33.3887,35.0079,CR+PC/LFM+CDN/H:1,"Concrete frame, low rise",0.04483894247,Ind,2243.54980175436,1312.5,132035.40064239476,19805.310096359208,33008.85016059869,79221.24038543685,76.95450693415673,40.83183051574277,3.714709481472147,7.8972638878504995,17.48126796168847,Pera Chorio,CY000_1106,Lefkosia,4
33.3887,35.0079,CR/LFINF+CDM/H:1,"Concrete frame with infill panels, low rise, low/moderate code",0.25622252840000004,Ind,2243.54980175436,1312.5,754488.0036708274,113173.2005506241,188622.00091770684,452692.8022024964,439.7400396237529,233.32474580424443,21.226911322697987,45.127222216288565,99.89295978107698,Pera Chorio,CY000_1106,Lefkosia,4
33.3887,35.0079,CR/LFINF+CDM/HBET:3-5,"Concrete frame with infill panels, mid rise, low/moderate code",0.032027816050000005,Ind,2243.54980175436,1312.5,94311.00045885342,14146.650068828012,23577.750114713355,56586.60027531205,54.967504952969115,29.165593225530554,2.6533639153372484,5.6409027770360725,12.486619972634626,Pera Chorio,CY000_1106,Lefkosia,4
33.3887,35.0079,S+SL/LFM+CDM/H:1,"Steel, low rise",0.30746703408000003,Ind,2243.54980175436,1250.0,862272.0041952312,129340.80062928467,215568.0010488078,517363.2025171387,527.6880475485035,279.9896949650933,25.47229358723759,54.152666659546306,119.8715517372924,Pera Chorio,CY000_1106,Lefkosia,4
33.3637,35.1079,CR+PC/LFM+CDN/H:1,"Concrete frame, low rise",0.043554415590000006,Ind,2243.54980175436,1312.5,128252.90685699385,19237.93602854908,32063.226714248463,76951.74411419629,1.5219489634843049,0.8075415541778819,0.07346675939083264,0.1561862075051681,0.3457315070246276,Latsia Municipality,CY000_1023,Lefkosia,4
33.3637,35.1079,CR/LFINF+CDM/H:1,"Concrete frame with infill panels, low rise, low/moderate code",0.2488823748000001,Ind,2243.54980175436,1312.5,732873.7534685363,109931.06302028043,183218.43836713408,439724.2520811218,8.696851219910316,4.614523166730754,0.4198100536619008,0.8924926143152464,1.9756086115693003,Latsia Municipality,CY000_1023,Lefkosia,4
33.3637,35.1079,CR/LFINF+CDM/HBET:3-5,"Concrete frame with infill panels, mid rise, low/moderate code",0.031110296850000007,Ind,2243.54980175436,1312.5,91609.21918356704,13741.382877535056,22902.30479589176,54965.531510140216,1.0871064024887895,0.5768153958413442,0.0524762567077376,0.1115615767894058,0.2469510764461625,Latsia Municipality,CY000_1023,Lefkosia,4
33.3637,35.1079,S+SL/LFM+CDM/H:1,"Steel, low rise",0.29865884976,Ind,2243.54980175436,1250.0,837570.0039640414,125635.50059460619,209392.50099101034,502542.00237842475,10.436221463892377,5.537427800076904,0.5037720643942809,1.0709911371782956,2.3707303338831602,Latsia Municipality,CY000_1023,Lefkosia,4
32.4899,34.7496,CR+PC/LFM+CDN/H:1,"Concrete frame, low rise",5.582147565400001,Ind,2243.54980175436,1312.5,16437521.708628235,2465628.256294236,4109380.4271570593,9862513.025176942,2.0615387723885723,1.0938462880130593,0.09951356885135497,0.21156026266944625,0.4683067065112868,Agia Varvara Pafou,CY000_6106,Paphos,5
