LONGITUDE,LATITUDE,TAXONOMY,MACRO_TAXONOMY,BUILDINGS,OCCUPANCY,AREA_PER_BUILDING_SQM,COST_PER_AREA_EUR,TOTAL_REPL_COST_EUR,COST_STRUCTURAL_EUR,COST_NONSTRUCTURAL_EUR,COST_CONTENTS_EUR,OCCUPANTS_PER_ASSET,OCCUPANTS_PER_ASSET_DAY,OCCUPANTS_PER_ASSET_NIGHT,OCCUPANTS_PER_ASSET_TRANSIT,OCCUPANTS_PER_ASSET_AVERAGE,ID_1,NAME_1,ID_2,NAME_2,ID_3,NAME_3
-8.6937,37.1255,S/LFBR+CDH/H:2,"Steel, low rise",0.37390046825,Ind,586.4194207994318,1325.0,290522.8072368367,43578.4210855255,72630.70180920917,174313.684342102,8.444293065486393,4.554948788893613,0.432107142600537,0.900959626475538,1.9626718526565632,9,Faro,126,Lagos,1780,Lagos (Sao Sebastiao)
-8.6937,37.1255,S/LFM+CDM/H:1,"Steel, low rise",0.2991203746,Ind,586.4194207994318,1325.0,232418.24578946934,34862.736868420405,58104.561447367334,139450.94747368162,6.7554344523891166,3.643959031114892,0.3456857140804297,0.7207677011804308,1.5701374821252507,9,Faro,126,Lagos,1780,Lagos (Sao Sebastiao)
-8.6937,37.1004999999999,CR+PC/LFM+CDL/H:2,"Concrete frame, low rise",0.5027391388799999,Ind,586.4194207994318,1391.25,410148.01173651055,61522.20176047657,102537.00293412764,246088.8070419063,91.92515178226832,49.58548401060102,4.703947904426344,9.807908106833226,21.365780007286858,9,Faro,126,Lagos,1781,Lagos (Santa Maria)
-8.6937,37.1004999999999,CR/LFM+CDM/H:1,"Concrete frame, low rise, low/moderate code",1.5920072731199997,Ind,586.4194207994318,1391.25,1298802.0371656166,194820.3055748425,324700.50929140416,779281.22229937,291.096313977183,157.02069936690324,14.895835030683422,31.058375671638554,67.65830335640841,9,Faro,126,Lagos,1781,Lagos (Santa Maria)
-8.6937,37.1004999999999,S+SL/LFM+CDL/H:1,"Steel, low rise",0.2094746412,Ind,586.4194207994318,1325.0,162762.99703819142,24414.449555728712,40690.749259547854,97657.79822291485,38.30214657594514,20.660618337750424,1.9599782935109769,4.08662837784718,8.902408336369529,9,Faro,126,Lagos,1781,Lagos (Santa Maria)
-8.6937,37.1004999999999,S/LFBR+CDH/H:2,"Steel, low rise",1.0473732059999998,Ind,586.4194207994318,1325.0,813814.9851909571,122072.24777864352,203453.74629773927,488288.9911145741,191.51073287972562,103.30309168875212,9.799891467554882,20.43314188923589,44.51204168184764,9,Faro,126,Lagos,1781,Lagos (Santa Maria)
-8.6937,37.1004999999999,S/LFM+CDM/H:1,"Steel, low rise",0.8378985647999999,Ind,586.4194207994318,1325.0,651051.9881527657,97657.79822291485,162762.99703819142,390631.1928916593,153.20858630378055,82.6424733510017,7.839913174043906,16.34651351138871,35.6096333454781,9,Faro,126,Lagos,1781,Lagos (Santa Maria)
-8.6937,37.1004999999999,CR+PC/LFM+CDL/H:2,"Concrete frame, low rise",0.13927232904,Ind,586.4194207994318,1391.25,113622.08435357912,17043.312653036868,28405.52108839478,68173.25061214747,25.465751511994192,13.736519221712053,1.3031207034960106,2.717055624696465,5.918898516634844,9,Faro,126,Lagos,1781,Lagos (Santa Maria)
-8.6937,37.1004999999999,CR/LFM+CDM/H:1,"Concrete frame, low rise, low/moderate code",0.44102904196000003,Ind,586.4194207994318,1391.25,359803.2671196672,53970.49006795008,89950.8167799168,215881.96027180032,80.64154645464826,43.498977535421496,4.126548894404033,8.60400947820547,18.74317863601033,9,Faro,126,Lagos,1781,Lagos (Santa Maria)
-8.6937,37.1004999999999,S+SL/LFM+CDL/H:1,"Steel, low rise",0.0580301371,Ind,586.4194207994318,1325.0,45089.74918789903,6763.462378184855,11272.437296974758,27053.84951273942,10.610729796664243,5.723549675713357,0.5429669597900044,1.1321065102901935,2.466207715264518,9,Faro,126,Lagos,1781,Lagos (Santa Maria)
-8.6937,37.1004999999999,S/LFBR+CDH/H:2,"Steel, low rise",0.2901506855,Ind,586.4194207994318,1325.0,225448.7459394952,33817.311890924284,56362.1864848738,135269.2475636971,53.05364898332123,28.61774837856678,2.7148347989500228,5.660532551450968,12.331038576322591,9,Faro,126,Lagos,1781,Lagos (Santa Maria)
-8.6937,37.1004999999999,S/LFM+CDM/H:1,"Steel, low rise",0.2321205484,Ind,586.4194207994318,1325.0,180358.99675159613,27053.84951273942,45089.74918789903,108215.39805095768,42.44291918665697,22.894198702853426,2.1718678391600177,4.528426041160774,9.864830861058072,9,Faro,126,Lagos,1781,Lagos (Santa Maria)
-8.6937,37.1004999999999,CR+PC/LFM+CDL/H:2,"Concrete frame, low rise",0.08699916347999999,Ind,586.4194207994318,1391.25,70976.24028945713,10646.436043418571,17744.060072364282,42585.744173674284,15.907675948297902,8.580783344785294,0.8140196397883261,1.6972615314656707,3.6973548386797632,9,Faro,126,Lagos,1781,Lagos (Santa Maria)
