LONGITUDE,LATITUDE,TAXONOMY,MACRO_TAXONOMY,BUILDINGS,OCCUPANCY,AREA_PER_BUILDING_SQM,COST_PER_AREA_EUR,TOTAL_REPL_COST_EUR,COST_STRUCTURAL_EUR,COST_NONSTRUCTURAL_EUR,COST_CONTENTS_EUR,OCCUPANTS_PER_ASSET,OCCUPANTS_PER_ASSET_DAY,OCCUPANTS_PER_ASSET_NIGHT,OCCUPANTS_PER_ASSET_TRANSIT,OCCUPANTS_PER_ASSET_AVERAGE,NAME_1
42.7353,41.1394,W/LFM+CDL/HBET:1-3,"Wood, low rise",1.0,IND,878,522.5,458755.0,68813.25,114688.75,275253.0,351.73111944332294,133.9265479637174,8.588394609007336,18.093400515283975,53.53611436266957,Ardahan
42.7353,41.1394,W/LWAL+CDL/HBET:1-3,"Wood, low rise",7.0,IND,878,522.5,3211285.0,481692.75,802821.25,1926771.0,2462.1178361032603,937.4858357460217,60.11876226305136,126.65380360698781,374.7528005386869,Ardahan
41.8289,41.1394,CR+PC/LFM+CDL/HBET:1-3,"Concrete frame, low rise",11.0,IND,878,577.5,5577495.0,836624.25,1394373.75,3346497.0,2490.8433270356186,948.4234685753903,60.82016693789222,128.13147158603925,379.1250356997739,Artvin
41.8289,41.1394,CR/LFM+CDL/HBET:1-3,"Concrete frame, low rise, low/moderate code",51.4,IND,878,577.5,26062113.0,3909316.9499999997,6515528.25,15637267.799999999,11639.031546330072,4431.724207706823,284.1960527825145,598.7234217747653,1771.5478940880346,Artvin
41.8289,41.1394,CR/LFM+CDL/HBET:4-6,"Concrete frame, mid rise, low/moderate code",16.6,IND,878,577.5,8416947.0,1262542.05,2104236.75,5050168.2,3758.9090207992067,1431.257234395589,91.78316101536463,193.362038938932,572.1341447832953,Artvin
41.8289,41.1394,CR/LWAL+CDL/HBET:1-3,"Concrete wall, low rise, low/moderate code",159.0,IND,878,577.5,80620155.0,12093023.25,20155038.75,48372093.0,36004.00809078758,13709.030136680643,879.1278675568058,1852.082180198204,5480.080061478551,Artvin
41.8289,41.1394,MUR+CL/LWAL+CDN/HBET:1-3,"Unreinforced masonry, low rise",21.0,IND,878,522.5,9633855.0,1445078.25,2408463.75,5780313.0,4755.246351613454,1810.6266218257451,116.1112277905215,244.6146275733477,723.7841590632048,Artvin
41.8289,41.1394,MUR+STRUB/LWAL+CDN/HBET:1-3,"Unreinforced masonry, low rise",1.0,IND,878,522.5,458755.0,68813.25,114688.75,275253.0,226.4403024577835,86.22031532503549,5.529106085262929,11.648315598730841,34.46591233634309,Artvin
41.8289,41.1394,S/LFM+CDL/HBET:1-3,"Steel, low rise",5.0,IND,878,550.0,2414500.0,362175.0,603625.0,1448700.0,1132.2015122889175,431.10157662517736,27.64553042631464,58.241577993654204,172.3295616817154,Artvin
41.8289,41.1394,W/LFM+CDL/HBET:1-3,"Wood, low rise",2.0,IND,878,522.5,917510.0,137626.5,229377.5,550506.0,452.880604915567,172.44063065007097,11.058212170525858,23.296631197461682,68.93182467268618,Artvin
41.8289,41.1394,W/LWAL+CDL/HBET:1-3,"Wood, low rise",36.0,IND,878,522.5,16515180.0,2477277.0,4128795.0,9909108.0,8151.850888480206,3103.9313517012774,199.0478190694654,419.33936155431024,1240.772844108351,Artvin
27.7658,37.7657,CR+PC/LFM+CDL/HBET:1-3,"Concrete frame, low rise",26.0,IND,878,577.5,13183170.0,1977475.5,3295792.5,7909902.0,4377.628809948011,1666.8434561910442,106.89075146690556,225.18960361253562,666.3079370901618,Aydin
