LONGITUDE,LATITUDE,TAXONOMY,MACRO_TAXONOMY,BUILDINGS,DWELLINGS,OCCUPANCY,OCCUPANCY_TYPE,SETTLEMENT_TYPE,AREA_PER_DWELLING_SQM,COST_PER_AREA_EUR,TOTAL_REPL_COST_EUR,COST_STRUCTURAL_EUR,COST_NONSTRUCTURAL_EUR,COST_CONTENTS_EUR,OCCUPANTS_PER_ASSET,OCCUPANTS_PER_ASSET_DAY,OCCUPANTS_PER_ASSET_NIGHT,OCCUPANTS_PER_ASSET_TRANSIT,OCCUPANTS_PER_ASSET_AVERAGE,NAME_2,NAME_1
19.6656,49.074,MCF/LWAL+CDL/H:2,"Confined or reinforced masonry, low rise",1199.6,1199.6,RES,ALL,URBAN,100.0,984.375,118088623.99999999,35426587.199999996,59044311.99999999,23617724.799999997,4530.996680734684,1000.7861573556137,4293.724243052991,2282.3853649964403,2525.631921801682,Liptovsky Mikulas,Zilinsky
19.6656,49.074,MCF/LWAL+CDL/HBET:3-5,"Confined or reinforced masonry, mid rise",194.09264305177115,1424.64,RES,ALL,URBAN,69.0,984.375,96766677.504,29030003.251199998,48383338.752,19353335.5008,5380.992923676108,1188.5295025134221,5099.2091577384235,2710.551422464595,2999.430027572147,Liptovsky Mikulas,Zilinsky
19.6656,49.074,MUR+ADO/LWAL+CDN/H:1,"Adobe, low rise",330.4,330.4,RES,ALL,URBAN,105.0,890.625,30896695.2,9269008.559999999,15448347.6,6179339.04,1247.9504028965816,275.64166921498395,1182.599608123298,628.6263125998863,695.6225299793895,Liptovsky Mikulas,Zilinsky
19.6656,49.074,MUR+ADO/LWAL+CDN/H:2,"Adobe, low rise",141.6,141.6,RES,ALL,URBAN,100.0,890.625,12610896.0,3783268.8,6305448.0,2522179.2,534.8358869556779,118.13214394927883,506.82840348141343,269.4112768285228,298.12394141973834,Liptovsky Mikulas,Zilinsky
19.6656,49.074,MUR+CL/LWAL+CDN/H:1,"Unreinforced masonry, low rise",3583.24,3583.24,RES,ALL,URBAN,105.0,890.625,335079522.12,100523856.63599999,167539761.06,67015904.424,13534.218528072479,2989.3772844972727,12825.478873522172,6817.5512964903655,7544.135818169936,Liptovsky Mikulas,Zilinsky
19.6656,49.074,MUR+CL/LWAL+CDN/H:2,"Unreinforced masonry, low rise",1780.64,1780.64,RES,ALL,URBAN,100.0,890.625,158583798.4,47575139.52,79291899.2,31716759.680000003,6725.636820259591,1485.5283954932474,6373.438759711467,3387.884858558903,3748.9506712545394,Liptovsky Mikulas,Zilinsky
19.6656,49.074,MUR+CL/LWAL+CDN/HBET:3-5,"Unreinforced masonry, mid rise",83.40599455040872,612.2,RES,ALL,URBAN,69.0,890.625,37620547.080000006,11286164.124000002,18810273.540000003,7524109.416000001,2312.3342513719354,510.7379839389019,2191.2453997974667,1164.7851954408309,1288.9228597257331,Liptovsky Mikulas,Zilinsky
19.6656,49.074,MUR+ST/LWAL+CDN/H:1,"Unreinforced masonry, low rise",1668.2800000000002,1668.2800000000002,RES,ALL,URBAN,105.0,890.625,156005867.64000002,46801760.292,78002933.82000001,31201173.528000005,6301.243033124423,1391.7902055628736,5971.268989830312,3174.106249346666,3512.3884815799506,Liptovsky Mikulas,Zilinsky
19.6656,49.074,MUR+ST/LWAL+CDN/H:2,"Unreinforced masonry, low rise",1193.4,1193.4,RES,ALL,URBAN,100.0,890.625,106284204.00000001,31885261.200000003,53142102.00000001,21256840.800000004,4507.578725232387,995.6137047250662,4271.532603917505,2270.5891085251346,2512.5784723892352,Liptovsky Mikulas,Zilinsky
19.6656,49.074,W/LFM+CDL/H:1,"Wood, low rise",10.05,10.05,RES,ALL,URBAN,105.0,890.625,939805.65,281941.695,469902.825,187961.13,37.959750451303414,8.384378860806867,35.97193117929523,19.121351215583715,21.15922041856194,Liptovsky Mikulas,Zilinsky
