REGION,POPULATION,ID
1736 Snåase - Snåsa (-2017),2159,NO1736
1738 Lierne (-2017),1389,NO1738
1739 Raarvihke - Røyrvik (-2017),469,NO1739
1740 Namsskogan (-2017),872,NO1740
1742 Grong (-2017),2467,NO1742
1743 Høylandet (-2017),1264,NO1743
1744 Overhalla (-2017),3840,NO1744
1748 Fosnes (-2017),628,NO1748
1749 Flatanger (-2017),1090,NO1749
1750 Vikna (-2017),4418,NO1750
1751 Nærøy (-2017),5138,NO1751
1755 Leka (-2017),584,NO1755
1756 Inderøy (-2017),6800,NO1756
1804 Bodø,51022,NO1804
1805 Narvik,18756,NO1805
1811 Bindal,1473,NO1811
1812 Sømna,2047,NO1812
1813 Brønnøy,7956,NO1813
1815 Vega,1234,NO1815
1816 Vevelstad,528,NO1816
1818 Herøy (Nordland),1788,NO1818
1820 Alstahaug,7428,NO1820
1822 Leirfjord,2278,NO1822
1824 Vefsn,13465,NO1824
1825 Grane,1469,NO1825
1826 Hattfjelldal,1414,NO1826
1827 Dønna,1410,NO1827
1828 Nesna,1837,NO1828
1832 Hemnes,4524,NO1832
1833 Rana,26101,NO1833
1834 Lurøy,1920,NO1834
1835 Træna,465,NO1835
1836 Rødøy,1267,NO1836
1837 Meløy,6435,NO1837
1838 Gildeskål,2024,NO1838
1839 Beiarn,1043,NO1839
1840 Saltdal,4702,NO1840
1841 Fauske - Fuosko,9729,NO1841
1845 Sørfold,1958,NO1845
1848 Steigen,2543,NO1848
1849 Hamarøy - Hábmer,1810,NO1849
1850 Divtasvuodna - Tysfjord,1960,NO1850
1851 Lødingen,2134,NO1851
1852 Tjeldsund,1252,NO1852
1853 Evenes,1402,NO1853
1854 Ballangen,2554,NO1854
1856 Røst,535,NO1856
1857 Værøy,744,NO1857
1859 Flakstad,1349,NO1859
1860 Vestvågøy,11294,NO1860
1865 Vågan,9444,NO1865
1866 Hadsel,8009,NO1866
1867 Bø (Nordland),2624,NO1867
1868 Øksnes,4580,NO1868
1870 Sortland - Suortá,10378,NO1870
1871 Andøy,4908,NO1871
1874 Moskenes,1073,NO1874
1902 Tromsø,74541,NO1902
1903 Harstad - Hárstták,24845,NO1903
1911 Kvæfjord,2986,NO1911
1913 Skånland,3048,NO1913
1917 Ibestad,1394,NO1917
1919 Gratangen,1121,NO1919
1920 Loabák - Lavangen,1076,NO1920
1922 Bardu,3994,NO1922
1923 Salangen,2220,NO1923
1924 Målselv,6781,NO1924
1925 Sørreisa,3496,NO1925
1926 Dyrøy,1138,NO1926
1927 Tranøy,1540,NO1927
1928 Torsken,921,NO1928
1929 Berg,914,NO1929
1931 Lenvik,11697,NO1931
1933 Balsfjord,5685,NO1933
1936 Karlsøy,2273,NO1936
1938 Lyngen,2876,NO1938
1939 Storfjord - Omasvuotna - Omasvuono,1890,NO1939
1940 Gáivuotna - Kåfjord - Kaivuono,2132,NO1940
1941 Skjervøy,2912,NO1941
1942 Nordreisa,4919,NO1942
1943 Kvænangen,1233,NO1943
2002 Vardø,2104,NO2002
2003 Vadsø,6154,NO2003
2004 Hammerfest,10527,NO2004
2011 Guovdageaidnu - Kautokeino,2938,NO2011
2012 Alta,20446,NO2012
2014 Loppa,968,NO2014
2015 Hasvik,1037,NO2015
2017 Kvalsund,1027,NO2017
2018 Måsøy,1204,NO2018
2019 Nordkapp,3291,NO2019
2020 Porsanger - Porsángu - Porsanki,3971,NO2020
2021 Kárásjohka - Karasjok,2696,NO2021
2022 Lebesby,1330,NO2022
2023 Gamvik,1137,NO2023
2024 Berlevåg,991,NO2024
2025 Deatnu - Tana,2911,NO2025
2027 Unjárga - Nesseby,951,NO2027
2028 Båtsfjord,2267,NO2028
2030 Sør-Varanger,10199,NO2030
Sandefjord (-2016),0,NO0706
