ID_2,TAXONOMY,BUILDINGS,SETTLEMENT_TYPE,DWELLINGS,DWELLINGS_PER_BUILDING
10,MUR+CB/LWAL+CDN/HBET:1-4,19.3084,URBAN,77.2336,4
10,MUR+CL/LWAL+CDN/HBET:1-4,73.3269,RURAL,293.3076,4
10,MUR+CL/LWAL+CDN/HBET:1-4,9.3288,URBAN,37.3152,4
10,MUR+CL/LWAL+CDN/HBET:1-4,526.9305,RURAL,1053.861,2
10,MUR+CL/LWAL+CDN/HBET:1-4,67.0369,URBAN,134.0738,2
10,W/LPB+CDL/HBET:1-3,637.7735,RURAL,637.7735,1
10,W/LPB+CDL/HBET:1-3,81.1385,URBAN,81.1385,1
10,W/LWAL+CDL/HBET:1-3,329.1184,RURAL,987.3552,3
10,W/LWAL+CDL/HBET:1-3,41.8709,URBAN,125.6127,3
11,CR/LFINF+CDN/H:3,15.44,RURAL,46.32,3
11,CR/LFINF+CDN/H:3,45.1003,URBAN,135.3009,3
11,CR/LWAL+CDN/HBET:4-10,2.4038,URBAN,24.038,10
11,MUR+CB/LWAL+CDN/HBET:1-2,5.0944,RURAL,5.0944,1
11,MUR+CB/LWAL+CDN/HBET:1-2,14.8808,URBAN,14.8808,1
11,MUR+CB/LWAL+CDN/HBET:1-4,2.5469,URBAN,10.1876,4
11,MUR+CL/LWAL+CDN/HBET:1-4,1.2305,URBAN,4.922,4
11,MUR+CL/LWAL+CDN/HBET:1-4,3.0273,RURAL,6.0546,2
11,MUR+CL/LWAL+CDN/HBET:1-4,8.8426,URBAN,17.6852,2
11,W/LPB+CDL/HBET:1-3,3.6641,RURAL,3.6641,1
11,W/LPB+CDL/HBET:1-3,10.7027,URBAN,10.7027,1
11,W/LWAL+CDL/HBET:1-3,1.8908,RURAL,5.6724,3
11,W/LWAL+CDL/HBET:1-3,5.5231,URBAN,16.5693,3
12,CR/LFINF+CDN/H:3,1211.2995,RURAL,3633.8985,3
12,CR/LFINF+CDN/H:3,2513.1306,URBAN,7539.3918,3
12,CR/LWAL+CDN/HBET:4-10,64.5616,RURAL,645.616,10
12,CR/LWAL+CDN/HBET:4-10,133.9486,URBAN,1339.486,10
12,MUR+CB/LWAL+CDN/HBET:1-2,399.6673,RURAL,399.6673,1
12,MUR+CB/LWAL+CDN/HBET:1-2,829.2055,URBAN,829.2055,1
12,MUR+CB/LWAL+CDN/HBET:1-4,68.4046,RURAL,273.6184,4
12,MUR+CB/LWAL+CDN/HBET:1-4,141.9217,URBAN,567.6868,4
12,MUR+CL/LWAL+CDN/HBET:1-4,33.0494,RURAL,132.1976,4
12,MUR+CL/LWAL+CDN/HBET:1-4,68.5689,URBAN,274.2756,4
12,MUR+CL/LWAL+CDN/HBET:1-4,237.4946,RURAL,474.9892,2
12,MUR+CL/LWAL+CDN/HBET:1-4,492.7394,URBAN,985.4788,2
12,W/LPB+CDL/HBET:1-3,287.453,RURAL,287.453,1
12,W/LPB+CDL/HBET:1-3,596.3901,URBAN,596.3901,1
12,W/LWAL+CDL/HBET:1-3,148.3381,RURAL,445.0143,3
12,W/LWAL+CDL/HBET:1-3,307.7628,URBAN,923.2884,3
13,CR/LFINF+CDN/H:3,2431.0222,RURAL,7293.0666,3
13,CR/LFINF+CDN/H:3,2292.4791,URBAN,6877.4373,3
13,CR/LWAL+CDN/HBET:4-10,129.5723,RURAL,1295.723,10
13,CR/LWAL+CDN/HBET:4-10,122.188,URBAN,1221.88,10
13,MUR+CB/LWAL+CDN/HBET:1-2,802.1139,RURAL,802.1139,1
13,MUR+CB/LWAL+CDN/HBET:1-2,756.4017,URBAN,756.4017,1
13,MUR+CB/LWAL+CDN/HBET:1-4,137.2849,RURAL,549.1396,4
13,MUR+CB/LWAL+CDN/HBET:1-4,129.4611,URBAN,517.8444,4
13,MUR+CL/LWAL+CDN/HBET:1-4,66.3287,RURAL,265.3148,4
13,MUR+CL/LWAL+CDN/HBET:1-4,62.5486,URBAN,250.1944,4
13,MUR+CL/LWAL+CDN/HBET:1-4,476.6408,RURAL,953.2816,2
