ID_2,TAXONOMY,BUILDINGS,SETTLEMENT_TYPE
8,MUR+CL/LWAL+CDN/HBET:1-4,463.1668,URBAN
8,W/LPB+CDL/HBET:1-3,1553.9773,RURAL
8,W/LPB+CDL/HBET:1-3,1080.7225,URBAN
8,W/LWAL+CDL/HBET:1-3,677.7628,RURAL
8,W/LWAL+CDL/HBET:1-3,471.3541,URBAN
9,CR/LFINF+CDL/H:3,4546.2326,RURAL
9,CR/LFINF+CDL/H:3,15841.0116,URBAN
9,CR/LWAL+CDL/HBET:4-10,268.2935,RURAL
9,CR/LWAL+CDL/HBET:4-10,934.8487,URBAN
9,MUR+CB/LWAL+CDN/HBET:1-2,2558.1781,RURAL
9,MUR+CB/LWAL+CDN/HBET:1-2,8913.7825,URBAN
9,MUR+CB/LWAL+CDN/HBET:1-4,218.6592,RURAL
9,MUR+CB/LWAL+CDN/HBET:1-4,761.9017,URBAN
9,MUR+CL/LWAL+CDN/HBET:1-4,92.5612,RURAL
9,MUR+CL/LWAL+CDN/HBET:1-4,322.5228,URBAN
9,MUR+CL/LWAL+CDN/HBET:1-4,531.221,RURAL
9,MUR+CL/LWAL+CDN/HBET:1-4,1851.0005,URBAN
9,W/LPB+CDL/HBET:1-3,1239.5158,RURAL
9,W/LPB+CDL/HBET:1-3,4319.0011,URBAN
9,W/LWAL+CDL/HBET:1-3,540.6113,RURAL
9,W/LWAL+CDL/HBET:1-3,1883.7202,URBAN
10,CR/LFINF+CDL/H:3,647.9593,RURAL
10,CR/LFINF+CDL/H:3,1167.3784,URBAN
10,CR/LWAL+CDL/HBET:4-10,38.239,RURAL
10,CR/LWAL+CDL/HBET:4-10,68.8922,URBAN
10,MUR+CB/LWAL+CDN/HBET:1-2,364.6086,RURAL
10,MUR+CB/LWAL+CDN/HBET:1-2,656.8872,URBAN
10,MUR+CB/LWAL+CDN/HBET:1-4,31.1648,RURAL
10,MUR+CB/LWAL+CDN/HBET:1-4,56.1471,URBAN
10,MUR+CL/LWAL+CDN/HBET:1-4,13.1924,RURAL
10,MUR+CL/LWAL+CDN/HBET:1-4,23.7678,URBAN
10,MUR+CL/LWAL+CDN/HBET:1-4,75.7132,RURAL
10,MUR+CL/LWAL+CDN/HBET:1-4,136.4066,URBAN
10,W/LPB+CDL/HBET:1-3,176.664,RURAL
10,W/LPB+CDL/HBET:1-3,318.282,URBAN
10,W/LWAL+CDL/HBET:1-3,77.0515,RURAL
10,W/LWAL+CDL/HBET:1-3,138.8178,URBAN
11,CR/LFINF+CDL/H:3,6377.9693,RURAL
11,CR/LFINF+CDL/H:3,8799.9254,URBAN
11,CR/LWAL+CDL/HBET:4-10,376.3924,RURAL
11,CR/LWAL+CDL/HBET:4-10,519.3228,URBAN
11,MUR+CB/LWAL+CDN/HBET:1-2,3588.9016,RURAL
11,MUR+CB/LWAL+CDN/HBET:1-2,4951.7432,URBAN
11,MUR+CB/LWAL+CDN/HBET:1-4,306.7598,RURAL
