REGION,POPULATION,ID
Kistanje,3481,8
Murter-Kornati,2044,10
Pirovac,1930,11
Primošten,2828,12
Promina,1136,13
Rogoznica,2345,14
Ruži?,1591,15
Tisno,3094,17
Tribunj,1536,566
Uneši?,1686,18
Ilok,6767,481
Otok,6343,489
Vinkovci,35312,497
Vukovar,27683,500
Županja,12090,471
Andrijaševci,4075,472
Babina Greda,3572,473
Bogdanovci,1960,475
Borovo,5056,476
Bošnjaci,3901,474
Cerna,4595,477
Drenovci,5174,478
Gradište,2773,479
Gunja,3732,480
Ivankovo,8006,482
Jarmina,2458,483
Lovas,1214,484
Markušica,2555,485
Negoslavci,1463,486
Nijemci,4705,487
Nuštar,5793,488
Privlaka,2954,490
Stari Jankovci,4405,491
Stari Mikanovci,2956,492
Štitar,2129,562
Tompojevci,1565,493
Tordinci,2032,494
Tovarnik,2775,495
Trpinja,5572,496
Vo?inci,1966,498
Vrbanja,3940,499
Hvar,4251,383
Imotski,10764,384
Kaštela,38667,386
Komiža,1526,388
Makarska,13834,392
Omiš,14936,398
Sinj,24826,411
Solin,23926,412
Split,178102,413
Stari Grad,2781,414
Supetar,4074,416
Trilj,9109,418
Trogir,13192,419
Vis,1934,421
Vrgorac,6572,422
Vrlika,2177,423
Baška Voda,2775,373
Bol,1630,375
Brela,1703,376
Cista Provo,2335,377
Dicmo,2802,378
Dugi Rat,7092,379
Dugopolje,3469,380
Gradac,3261,381
Hrvace,3617,382
Jelsa,3582,385
Klis,4801,387
Le?evica,583,389
Lokvi?i?i,807,390
Lovre?,1699,391
Marina,4595,393
Milna,1034,394
Mu?,3882,395
Nerežiš?a,862,396
Okrug,3349,397
Otok,5474,399
Podbablje,4680,400
Podgora,2518,401
Podstrana,9129,402
Postira,1559,403
Prgomet,673,404
Primorski Dolac,770,405
Proložac,3802,406
Pu?iš?a,2171,407
Runovi?i,2416,408
Seget,4854,409
Selca,1804,410
Su?uraj,463,415
Sutivan,822,417
Šestanovac,1958,371
Šolta,1700,372
Tu?epi,1931,420
Zadvarje,289,424
Zagvozd,1188,425
Zmijavci,2048,426
Buje - Buie,5182,104
Buzet,6133,105
Labin,11642,114
Novigrad - Cittanova,4345,121
Pazin,8638,123
Pore? - Parenzo,16696,125
Pula - Pola,57460,127
Rovinj - Rovigno,14294,129
Umag - Umago,13467,135
Vodnjan - Dignano,6119,138
Bale - Valle,1127,101
Barban,2721,102
Brtonigla - Verteneglio,1626,103
Cerovlje,1677,106
Fažana - Fasana,3635,107
Funtana - Fontane,907,563
Gra?iš?e,1419,108
Grožnjan - Grisignana,736,109
Kanfanar,1543,111
Karojba,1438,112
Kaštelir - Labinci - Castelliere-S. Domenica,1463,110
Kršan,2951,113
Laniš?e,329,115
Ližnjan - Lisignano,3965,116
Lupoglav,924,117
Mar?ana,4253,118
Medulin,6481,119
Motovun - Montona,1004,120
Oprtalj - Portole,850,122
Pi?an,1827,124
Raša,3183,128
Sveta Nedelja,2987,130
Sveti Lovre?,1015,131
Sveti Petar u Šumi,1065,132
Svetvin?enat,2202,133
Tar-Vabriga - Torre-Abrega,1990,565
Tinjan,1684,134
Višnjan - Visignano,2274,136
Vižinada - Visinada,1158,137
Vrsar - Orsera,2162,139
Žminj,3483,100
Dubrovnik,42615,74
Kor?ula,5663,77
Metkovi?,16788,81
Opuzen,3254,83
Plo?e,10135,85
Blato,3593,72
Dubrova?ko primorje,2170,73
Janjina,551,75
Konavle,8577,76
Kula Norinska,1748,78
Lastovo,792,79
Lumbarda,1213,80
Mljet,1088,82
Orebi?,4122,84
Pojezerje,991,86
Slivno,1999,87
Smokvica,916,88
Ston,2407,89
Trpanj,721,90
Vela Luka,4137,91
Zažablje,757,92
Župa dubrova?ka,8331,71
?akovec,27104,232
Mursko Središ?e,6307,243
Prelog,7815,247
Belica,3176,233
Dekanovec,774,234
Domašinec,2251,235
Donja Dubrava,1920,236
Donji Kraljevec,4659,237
Donji Vidovec,1399,238
Gori?an,2823,239
Gornji Mihaljevec,1917,240
Kotoriba,3224,241
Mala Subotica,5452,242
Nedeliš?e,11975,244
Orehovica,2685,245
Podturen,3873,246
Pribislavec,3136,248
Selnica,2991,249
Strahoninec,2682,250
Sveta Marija,2317,251
Sveti Juraj na Bregu,5090,252
Sveti Martin na Muri,2605,253
Šenkovec,2879,230
Štrigova,2766,231
Vratišinec,1984,254
City of Zagreb,790017,99
