ID_2,TAXONOMY,BUILDINGS,SETTLEMENT_TYPE,POPULATION
47,MUR/LWAL+CDN/H:1,196.4512,URBAN,1204.0451
47,W/LFM+CDL/H:1,1115.072,RURAL,6834.2524
47,W/LFM+CDL/H:1,1178.7072,URBAN,7224.2707
48,CR/LWAL+CDL/HBET:3-5,1372.5591,RURAL,8412.385
48,MUR+CB/LWAL+CDN/H:1,214.4624,RURAL,1314.4352
48,MUR/LWAL+CDN/H:1,1501.2365,RURAL,9201.0461
48,MUR/LWAL+CDN/H:1,171.5699,RURAL,1051.5481
48,W/LFM+CDL/H:1,1029.4193,RURAL,6309.2888
49,CR/LWAL+CDL/HBET:3-5,3122.855,RURAL,19139.9108
49,MUR+CB/LWAL+CDN/H:1,487.9461,RURAL,2990.6111
49,MUR/LWAL+CDN/H:1,3415.6226,RURAL,20934.2774
49,MUR/LWAL+CDN/H:1,390.3569,RURAL,2392.4888
49,W/LFM+CDL/H:1,2342.1412,RURAL,14354.9331
50,CR/LWAL+CDL/HBET:3-5,1230.2144,RURAL,7539.9576
50,CR/LWAL+CDL/HBET:3-5,2696.9846,URBAN,16529.7606
50,MUR+CB/LWAL+CDN/H:1,192.221,RURAL,1178.1184
50,MUR+CB/LWAL+CDN/H:1,421.4039,URBAN,2582.7751
50,MUR/LWAL+CDN/H:1,1345.547,RURAL,8246.8286
50,MUR/LWAL+CDN/H:1,2949.827,URBAN,18079.4257
50,MUR/LWAL+CDN/H:1,153.7768,RURAL,942.4947
50,MUR/LWAL+CDN/H:1,337.1231,URBAN,2066.2201
50,W/LFM+CDL/H:1,922.6608,RURAL,5654.9682
50,W/LFM+CDL/H:1,2022.7385,URBAN,12397.3205
51,CR/LWAL+CDL/HBET:3-5,1300.5801,RURAL,7971.2276
51,CR/LWAL+CDL/HBET:3-5,1914.932,URBAN,11736.577
51,MUR+CB/LWAL+CDN/H:1,203.2156,RURAL,1245.5043
51,MUR+CB/LWAL+CDN/H:1,299.2081,URBAN,1833.8402
51,MUR/LWAL+CDN/H:1,1422.5095,RURAL,8718.5302
51,MUR/LWAL+CDN/H:1,2094.4569,URBAN,12836.8811
51,MUR/LWAL+CDN/H:1,162.5725,RURAL,996.4035
51,MUR/LWAL+CDN/H:1,239.3665,URBAN,1467.0721
51,W/LFM+CDL/H:1,975.4351,RURAL,5978.4207
51,W/LFM+CDL/H:1,1436.199,URBAN,8802.4327
52,CR/LWAL+CDL/HBET:3-5,2135.7315,RURAL,13089.852
52,CR/LWAL+CDL/HBET:3-5,2298.2833,URBAN,14086.129
52,MUR+CB/LWAL+CDN/H:1,333.708,RURAL,2045.2894
52,MUR+CB/LWAL+CDN/H:1,359.1068,URBAN,2200.9576
52,MUR/LWAL+CDN/H:1,2335.9563,RURAL,14317.0256
52,MUR/LWAL+CDN/H:1,2513.7474,URBAN,15406.7035
52,MUR/LWAL+CDN/H:1,266.9664,RURAL,1636.2315
52,MUR/LWAL+CDN/H:1,287.2854,URBAN,1760.7661
52,W/LFM+CDL/H:1,1601.7986,RURAL,9817.389
52,W/LFM+CDL/H:1,1723.7125,URBAN,10564.5967
53,CR/LWAL+CDL/HBET:3-5,1980.432,RURAL,12138.0249
53,MUR+CB/LWAL+CDN/H:1,309.4425,RURAL,1896.5664
53,MUR/LWAL+CDN/H:1,2166.0975,RURAL,13275.9648
53,MUR/LWAL+CDN/H:1,247.554,RURAL,1517.2531
53,W/LFM+CDL/H:1,1485.324,RURAL,9103.5187
54,CR/LWAL+CDL/HBET:3-5,1314.8025,RURAL,8058.396
54,MUR+CB/LWAL+CDN/H:1,205.4379,RURAL,1259.1244
54,MUR/LWAL+CDN/H:1,1438.0652,RURAL,8813.8707
54,MUR/LWAL+CDN/H:1,164.3503,RURAL,1007.2995
54,W/LFM+CDL/H:1,986.1019,RURAL,6043.797
55,CR/LWAL+CDL/HBET:3-5,1724.1357,RURAL,10567.1902
55,CR/LWAL+CDL/HBET:3-5,1367.6488,URBAN,8382.2899
55,MUR+CB/LWAL+CDN/H:1,269.3962,RURAL,1651.1235
55,MUR+CB/LWAL+CDN/H:1,213.6951,URBAN,1309.7328
55,MUR/LWAL+CDN/H:1,1885.7734,RURAL,11557.8643
55,MUR/LWAL+CDN/H:1,1495.8659,URBAN,9168.1296
